,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.84,0.72,0.63,0.67,0.86,0.5,1.0,0.82,0.82,0.84,0.7,0.78,1.0,0.96,0.83
emulemorph.csv,0.1,0.1,0.07,0.83,0.05,0.03,0.0,0.0,0.0,0.15,0.2,0.04,0.0,0.0,0.04
fceugc.csv,0.67,0.44,0.0,0.83,0.76,0.21,0.23,0.25,0.45,0.51,0.39,0.3,1.0,0.54,0.45
gnukeda.csv,0.27,0.79,0.52,0.5,0.76,0.88,0.92,0.1,0.64,0.47,0.85,0.7,1.0,0.5,0.66
gusanos.csv,0.03,0.33,0.93,0.33,0.19,0.19,0.31,0.84,0.09,0.27,0.36,0.66,1.0,0.12,0.38
micomt.csv,0.67,0.9,0.7,0.83,0.95,0.48,0.92,0.93,0.64,0.95,0.82,0.85,1.0,0.81,0.85
modplug.csv,0.93,0.9,0.85,1.0,0.81,0.6,0.85,0.72,0.82,0.78,0.89,0.96,1.0,0.54,0.87
ogre.csv,0.47,0.59,0.63,0.33,0.67,0.94,0.54,0.37,0.73,0.49,0.58,0.78,0.0,0.62,0.72
openfrag.csv,0.92,0.64,0.56,0.67,0.62,0.14,0.46,0.58,0.36,0.62,0.71,0.67,1.0,0.54,0.62
oscarmcmaster.csv,0.83,0.49,0.59,0.67,0.57,0.18,0.77,0.46,0.27,0.44,0.59,0.64,1.0,0.58,0.53
pidgin.csv,0.74,0.36,0.63,0.0,0.1,0.22,0.54,0.61,0.18,0.27,0.42,0.43,0.67,0.27,0.51
repositorium.csv,0.0,0.26,0.04,0.17,0.52,0.62,0.08,0.48,0.73,0.29,0.8,0.3,1.0,0.38,0.34
unimrcp.csv,0.18,0.18,0.81,0.33,0.19,0.16,0.31,0.42,0.09,0.44,0.32,0.31,1.0,0.38,0.6
xapian.csv,0.69,0.85,0.41,0.83,0.71,0.59,0.54,0.28,0.73,0.69,0.85,0.81,1.0,0.81,0.68
xqilla.csv,0.17,0.21,0.11,0.67,0.38,0.31,0.23,0.03,0.36,0.4,0.23,0.27,1.0,0.31,0.34
