,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.25,0.64,0.53,0.75,0.33
n2cms.csv,0.71,0.71,0.47,0.92,0.83
nassp.csv,0.27,0.29,0.47,0.75,0.25
nug.csv,0.77,0.07,0.76,0.25,0.56
oorexx.csv,0.21,0.79,0.47,0.83,0.72
