,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.4,0.34,0.48,0.35,0.0,0.37,0.51,0.3,0.28,0.59,0.2,0.48,0.36,0.72,0.68,0.49,0.02,0.36
atlc.csv,0.51,0.34,0.51,0.55,0.8,0.55,0.41,0.59,0.24,0.48,0.21,0.68,0.0,0.71,0.67,0.55,0.48,0.6
ipfilter.csv,0.44,0.56,0.64,0.31,0.34,0.56,0.52,0.64,0.09,0.48,0.39,0.61,0.0,0.61,0.9,0.53,0.5,0.55
liferea.csv,0.73,0.67,0.71,0.77,0.49,0.24,0.56,0.6,0.21,0.55,0.46,0.61,0.72,0.41,0.56,0.62,0.46,0.42
miranda-icq.csv,0.53,0.48,0.77,0.21,0.0,0.24,0.22,0.38,0.48,0.56,0.26,0.71,0.0,0.62,0.54,0.58,0.07,0.64
opensim4opencog.csv,0.49,0.65,0.63,0.72,0.34,0.8,0.73,0.65,0.28,0.6,0.59,0.58,0.58,0.58,0.52,0.59,0.52,0.65
pclasses.csv,0.89,0.53,0.17,0.1,0.0,0.0,0.02,0.58,0.0,0.1,0.05,0.0,0.28,0.43,0.02,0.48,0.01,0.55
pfaedit.csv,0.0,0.56,0.68,0.35,0.0,0.69,0.81,0.26,0.07,0.65,0.2,0.0,0.41,0.27,0.09,0.54,0.06,0.37
psrchive.csv,0.31,0.45,0.84,0.49,0.45,0.37,0.36,0.49,0.0,0.57,0.53,0.48,0.69,0.44,0.5,0.37,0.56,0.24
rockbox.csv,0.21,0.61,0.6,0.49,0.0,0.88,0.5,0.16,0.28,0.52,0.2,0.41,0.24,0.37,0.11,0.4,0.23,0.76
theresa.csv,0.11,0.74,0.47,0.5,0.54,0.93,0.69,0.3,0.0,0.58,0.58,0.41,0.66,0.53,0.42,0.48,0.56,0.47
thrust.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.26,0.66,0.06,0.0,0.0,0.07,0.37,0.13,0.13,0.0,0.06
tktoolkit.csv,0.39,0.51,0.52,0.54,0.15,0.0,0.68,0.57,0.6,0.45,0.6,0.49,0.0,0.68,0.4,0.38,0.35,0.48
trinitycore.csv,0.64,0.41,0.6,0.0,0.02,0.82,0.02,0.39,0.27,0.61,0.2,0.18,0.51,0.12,0.02,0.65,0.02,0.19
tzod.csv,0.48,0.68,0.51,0.88,0.45,0.46,0.05,0.16,0.28,0.46,0.16,0.46,0.37,0.2,0.49,0.33,0.48,0.06
yaprm.csv,0.54,0.53,0.39,0.1,0.09,0.0,0.53,0.2,0.43,0.67,0.43,0.1,0.0,0.49,0.26,0.39,0.34,0.38
zemljanka.csv,0.6,0.68,0.53,0.51,0.48,0.78,0.43,0.27,0.55,0.5,0.39,0.48,0.7,0.51,0.39,0.54,0.79,0.53
