,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.62,1.0,0.64,0.32,0.0,0.0,1.0,0.14,1.0,0.14,0.33
gbif-providertoolkit.csv,0.88,0.0,1.0,0.5,1.0,0.25,1.0,0.0,0.0,0.0,0.21
geochat.csv,0.83,0.18,0.46,0.31,0.16,0.11,0.88,0.17,0.84,0.3,1.0
heekscad.csv,1.0,0.21,0.63,0.43,0.24,0.15,0.8,0.32,0.96,0.34,0.37
igarden.csv,0.76,0.11,0.53,1.0,0.18,0.17,0.71,0.12,0.96,0.28,0.22
jstock.csv,0.69,0.11,0.79,0.67,0.45,0.67,1.0,1.0,0.83,0.36,0.23
levent.csv,0.71,0.14,0.6,0.33,0.25,0.17,1.0,0.25,0.85,0.28,0.22
piccolo2d.csv,0.0,0.0,0.0,0.0,0.33,1.0,1.0,1.0,0.0,1.0,0.0
pnotepad.csv,0.69,0.15,0.46,0.3,0.19,0.16,0.72,0.27,1.0,0.28,0.27
trinitycore.csv,0.91,0.12,0.63,0.38,0.12,0.1,0.62,0.2,0.88,1.0,0.21
xcsoar.csv,0.83,0.25,1.0,0.33,0.3,0.23,0.94,0.32,1.0,0.33,0.21
