,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.07,1.0,0.29,0.22,0.0,0.0,0.07,0.1,0.15,0.02,0.09
gbif-providertoolkit.csv,0.11,0.0,0.05,0.04,0.94,0.1,0.1,0.0,0.0,0.0,0.12
geochat.csv,0.36,0.61,0.58,0.56,0.39,0.35,0.34,0.39,0.37,0.47,1.0
heekscad.csv,0.97,0.42,0.58,0.6,0.58,0.53,0.19,0.7,0.51,0.68,0.7
igarden.csv,0.49,0.29,0.38,0.98,0.5,0.6,0.35,0.26,0.57,0.54,0.36
jstock.csv,0.15,0.29,0.24,0.07,0.41,0.18,0.05,0.93,0.35,0.31,0.12
levent.csv,0.67,0.5,0.69,0.54,0.67,0.62,0.98,0.59,0.58,0.63,0.49
piccolo2d.csv,0.0,0.0,0.0,0.0,0.09,1.0,0.15,0.1,0.0,0.02,0.0
pnotepad.csv,0.66,0.62,0.3,0.0,0.6,0.56,0.62,0.61,0.97,0.54,0.63
trinitycore.csv,0.32,0.14,0.44,0.36,0.38,0.34,0.31,0.4,0.18,0.91,0.16
xcsoar.csv,0.65,0.64,0.94,0.5,0.59,0.73,0.4,0.56,0.4,0.53,0.27
