,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.06,1.0,0.25,0.19,0.0,0.0,0.06,0.08,0.12,0.02,0.07
gbif-providertoolkit.csv,0.09,0.0,0.04,0.03,0.93,0.08,0.08,0.0,0.0,0.0,0.1
geochat.csv,0.31,0.62,0.66,0.74,0.79,0.69,0.29,0.38,0.33,0.44,1.0
heekscad.csv,0.96,0.38,0.55,0.58,0.57,0.54,0.16,0.77,0.46,0.73,0.73
igarden.csv,0.45,0.25,0.34,0.97,0.5,0.62,0.31,0.23,0.52,0.53,0.33
jstock.csv,0.12,0.25,0.2,0.06,0.36,0.15,0.04,0.92,0.31,0.27,0.1
levent.csv,0.73,0.5,0.71,0.55,0.71,0.92,0.98,0.69,0.6,0.78,0.5
piccolo2d.csv,0.0,0.0,0.0,0.0,0.07,1.0,0.12,0.08,0.0,0.02,0.0
pnotepad.csv,0.95,0.75,1.0,1.0,0.79,0.92,0.84,0.92,0.96,0.95,0.87
trinitycore.csv,0.27,0.12,0.39,0.32,0.36,0.31,0.27,0.38,0.15,0.89,0.13
xcsoar.csv,0.62,0.62,0.93,0.48,0.57,0.77,0.35,0.54,0.35,0.51,0.23
