,nova.csv,crisscross.csv,mvdsv.csv,proftp.csv,libmesh.csv,l2j.csv,jfreechart.csv
crisscross.csv,0.83,0.94,0.92,0.89,0.92,0.96,0.39
l2j.csv,0.6,0.49,0.67,0.35,0.41,0.45,0.33
libmesh.csv,0.46,0.72,0.0,0.93,0.9,0.67,0.89
mvdsv.csv,0.0,0.0,0.83,0.83,0.5,0.0,0.0
nova.csv,0.69,0.52,0.43,0.54,0.55,0.38,0.53
proftp.csv,0.57,0.63,0.5,0.48,0.47,0.65,0.49
