,nova.csv,crisscross.csv,mvdsv.csv,proftp.csv,libmesh.csv,l2j.csv,jfreechart.csv
crisscross.csv,0.1,0.84,0.0,0.12,0.18,0.35,0.0
l2j.csv,0.59,0.36,0.35,0.69,0.33,0.99,0.69
libmesh.csv,0.86,0.45,0.0,0.09,0.91,0.34,0.0
mvdsv.csv,0.0,0.0,1.0,0.24,0.05,0.0,0.0
nova.csv,1.0,0.68,0.0,0.44,0.4,0.64,0.86
proftp.csv,0.26,0.41,0.67,0.98,0.22,0.32,0.0
