,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.72,1.0,0.1,0.4,0.03,0.5,0.56,0.36,0.22,0.16,0.61,0.12,0.68
freewrl.csv,0.56,0.69,0.08,0.64,0.05,0.96,0.59,0.46,0.19,0.07,0.73,0.25,0.7
fulguro.csv,0.5,0.51,0.29,0.56,0.09,0.5,0.5,0.53,0.5,0.25,0.17,1.0,0.57
google-web-toolkit.csv,0.56,0.5,0.06,0.76,0.07,0.5,1.0,0.43,0.29,0.19,0.45,0.09,0.63
jcache.csv,0.43,0.47,0.19,0.38,0.03,0.5,0.62,0.38,0.12,0.17,1.0,0.11,0.67
jstock.csv,0.63,0.61,0.13,0.74,0.09,0.0,0.57,0.36,0.92,0.26,0.91,0.13,0.69
mimosa.csv,0.56,0.61,0.13,0.97,0.08,0.0,0.61,0.43,0.25,0.29,0.8,0.12,0.66
miranda.csv,0.76,0.6,0.14,0.56,0.07,1.0,0.75,0.43,0.43,0.3,0.88,0.15,0.99
ns-3-dev-def-routing.csv,0.75,0.55,0.14,0.5,0.06,0.62,0.61,1.0,0.33,0.42,0.6,0.06,0.79
ossbuild.csv,0.78,0.65,1.0,0.68,0.14,0.52,0.65,0.53,0.6,0.32,1.0,0.1,0.75
qtractor.csv,1.0,0.53,0.17,0.71,0.05,0.61,0.58,0.56,0.4,0.26,0.9,0.11,0.75
quarkplayer.csv,0.33,0.73,0.0,0.0,1.0,0.6,0.88,0.25,0.12,0.22,0.0,0.0,1.0
synergyspace.csv,0.5,0.56,0.15,0.25,0.03,0.62,0.58,0.33,0.67,1.0,0.0,0.0,0.73
