,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.65,0.96,0.44,0.43,0.21,0.51,0.49,0.43,0.52,0.43,0.53,0.39,0.57
freewrl.csv,0.58,0.62,0.36,0.62,0.45,0.96,0.47,0.63,0.45,0.14,0.78,0.41,0.63
fulguro.csv,0.29,0.33,0.7,0.16,0.4,0.26,0.07,0.13,0.18,0.27,0.17,0.93,0.28
google-web-toolkit.csv,0.4,0.1,0.07,0.62,0.31,0.22,1.0,0.51,0.42,0.35,0.55,0.3,0.45
jcache.csv,0.13,0.11,0.11,0.32,0.11,0.05,0.35,0.07,0.18,0.14,0.98,0.21,0.2
jstock.csv,0.47,0.27,0.24,0.42,0.48,0.0,0.22,0.19,0.93,0.27,0.34,0.21,0.1
mimosa.csv,0.59,0.09,0.17,1.0,0.48,0.0,0.53,0.61,0.57,0.7,0.73,0.53,0.52
miranda.csv,0.51,0.39,0.32,0.28,0.47,0.05,0.24,0.41,0.27,0.35,0.46,0.6,0.99
ns-3-dev-def-routing.csv,0.48,0.4,0.59,0.1,0.39,0.41,0.19,0.92,0.1,0.36,0.11,0.11,0.43
ossbuild.csv,0.54,0.47,0.95,0.39,0.78,0.46,0.33,0.55,0.27,0.35,0.25,0.47,0.58
qtractor.csv,1.0,0.37,0.68,0.57,0.38,0.54,0.35,0.58,0.36,0.31,0.58,0.51,0.62
quarkplayer.csv,0.09,0.26,0.0,0.0,0.85,0.37,0.04,0.19,0.18,0.51,0.0,0.0,0.01
synergyspace.csv,0.05,0.45,0.59,0.04,0.11,0.23,0.17,0.24,0.18,0.93,0.0,0.0,0.06
