,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.87,0.89,0.98,0.5,0.9,0.62,0.92,0.0,0.79,0.0,0.51
fceugc.csv,0.65,0.5,0.62,0.48,0.59,0.88,0.5,0.53,0.69,0.52,0.49
flexpay.csv,0.44,0.69,0.64,0.95,0.86,0.5,0.61,0.39,0.56,0.84,0.88
jstock.csv,0.8,0.41,0.62,0.9,0.83,0.96,0.83,0.6,0.93,0.5,0.55
keyczar.csv,0.92,0.78,0.92,0.67,0.51,0.95,0.86,0.52,0.94,0.49,0.93
modellus.csv,0.52,0.61,0.47,0.85,0.83,0.42,0.39,0.88,0.61,0.77,0.8
open-data-kit.csv,0.43,0.38,0.44,0.36,0.62,0.41,0.52,0.48,0.53,0.67,0.45
phet.csv,0.8,0.58,0.99,0.67,0.46,0.69,0.54,0.38,0.72,0.44,0.73
qtractor.csv,0.46,0.5,0.45,0.61,0.67,0.4,0.49,0.62,0.45,0.0,0.53
sumatrapdf.csv,0.41,0.44,0.41,0.45,0.6,0.45,0.42,0.4,0.57,0.6,0.47
synergyspace.csv,0.54,0.94,0.47,0.9,0.45,0.53,0.57,0.5,0.73,0.87,0.88
