,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.86,0.83,0.63,0.14,0.86,0.83,0.82,0.76,0.82,0.86
flylegacy.csv,0.84,0.91,0.05,0.62,0.68,0.88,0.79,0.69,0.74,0.85
jguard.csv,0.9,0.76,0.71,0.74,0.86,0.0,0.79,0.53,0.76,0.93
m-a-d-n-e-s-s.csv,0.58,0.67,0.64,0.81,0.6,0.79,0.82,0.67,0.04,0.63
mob-sen-plat.csv,0.69,0.03,0.8,0.77,0.83,0.66,0.72,0.53,0.55,0.77
raygina.csv,0.0,0.91,0.67,0.64,0.77,0.88,0.64,0.67,0.66,0.8
st-filteredstatistics.csv,0.66,0.77,0.72,0.7,0.83,0.58,0.77,0.0,0.68,0.88
upp-mirror.csv,0.45,0.98,0.53,0.48,0.07,0.77,0.56,0.69,0.54,0.62
wishmaster.csv,0.89,0.62,0.53,0.96,0.62,0.96,0.0,0.84,0.87,0.69
yarp.csv,0.9,0.79,0.82,0.88,0.85,0.89,0.95,0.75,0.76,0.12
