,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.35,0.33,0.33,0.39,0.38,0.58,0.47,0.38,0.39,0.39,1.0,0.77
gmerlin.csv,0.71,0.79,0.36,0.0,0.76,0.0,0.3,0.73,0.0,0.93,0.0,1.0
google-gears.csv,0.45,0.37,0.44,0.67,0.77,0.6,0.42,0.32,0.43,0.37,0.7,0.87
gstreamer.csv,0.68,0.9,0.51,0.76,0.9,0.89,0.62,0.54,0.29,0.48,0.55,1.0
lportal.csv,0.01,0.01,0.01,0.0,0.02,0.17,0.09,0.0,0.19,0.02,0.49,0.1
metacosm.csv,0.13,0.41,0.3,0.09,0.14,0.59,0.27,0.11,0.08,0.37,0.36,0.19
mplayer-ce.csv,0.8,0.41,0.61,0.59,0.45,0.95,0.64,0.76,0.15,0.61,0.32,0.87
openmeetings.csv,0.12,0.17,0.1,0.21,0.18,0.18,0.32,0.16,0.1,0.3,0.58,0.32
qgis.csv,0.51,0.31,0.24,0.0,0.59,0.49,0.38,0.05,0.68,0.54,0.02,0.23
skia.csv,0.33,0.22,0.28,0.48,0.38,0.23,0.18,0.24,0.23,0.24,0.25,0.16
wxcrp.csv,0.21,0.91,0.43,0.6,0.91,0.82,0.88,0.43,0.75,0.54,0.72,0.9
yafdotnet.csv,0.37,0.43,0.41,0.2,0.26,0.48,0.44,0.35,0.11,0.3,0.29,0.61
