,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.48,0.78,0.67,0.67,0.64,0.72,0.51,0.55,0.69,0.46,0.0,0.55
gmerlin.csv,0.62,0.57,0.52,0.0,0.57,0.0,0.67,0.55,0.0,0.27,0.0,0.0
google-gears.csv,0.71,0.71,0.61,0.63,0.55,0.7,0.37,0.72,0.71,0.54,0.59,0.42
gstreamer.csv,0.62,0.33,0.68,0.57,0.34,0.36,0.55,0.61,0.7,0.62,0.54,0.0
lportal.csv,0.07,0.11,0.05,0.05,0.11,0.76,0.04,0.0,0.45,0.05,0.55,0.13
metacosm.csv,0.4,0.56,0.48,0.18,0.49,0.64,0.32,0.34,0.36,0.46,0.38,0.75
mplayer-ce.csv,0.56,0.82,0.7,0.67,0.49,0.21,0.58,0.54,0.52,0.63,0.57,0.42
openmeetings.csv,0.53,0.89,0.41,0.36,0.46,0.48,0.38,0.25,0.42,0.66,0.59,0.58
qgis.csv,0.48,0.48,0.66,0.0,0.55,0.61,0.41,0.3,0.62,0.54,0.04,0.59
skia.csv,0.7,0.66,0.46,0.6,0.64,0.3,0.39,0.42,0.32,0.71,0.39,0.34
wxcrp.csv,0.52,0.31,0.63,0.63,0.31,0.48,0.38,0.54,0.58,0.54,0.58,0.32
yafdotnet.csv,0.69,0.78,0.62,0.4,0.72,0.78,0.56,0.48,0.44,0.55,0.42,0.67
