,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.23,0.18,0.33,0.5,0.55,0.43,0.29,0.33,0.76,0.53,0.06,0.45,0.99,0.31,0.78,0.29,0.29
bwapi.csv,0.6,0.64,0.83,0.93,0.82,0.98,0.81,0.22,0.48,0.87,0.94,0.82,0.74,0.65,0.78,0.98,0.29
co-ode-owl-plugins.csv,0.17,0.36,0.5,0.22,0.55,0.15,0.0,1.0,0.33,0.2,0.0,0.14,0.23,0.31,0.28,0.23,0.0
firebreath.csv,0.57,0.82,0.67,0.63,0.68,0.93,0.52,0.33,0.63,0.6,0.62,0.75,0.82,0.54,0.5,0.44,1.0
frogatto.csv,0.57,1.0,0.92,0.8,0.64,0.62,0.71,0.56,0.81,0.53,0.62,0.9,0.77,0.92,0.94,0.36,0.86
gretl.csv,0.94,0.73,0.92,1.0,0.98,0.97,0.9,0.61,1.0,0.8,0.12,0.99,0.51,0.96,0.89,0.77,0.14
jasperreports.csv,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0
konversation.csv,0.06,0.18,0.83,0.02,0.2,0.02,0.0,0.0,0.06,0.0,0.0,0.06,0.06,0.19,0.11,0.04,0.0
linuxsh.csv,0.63,0.91,0.75,0.3,0.7,0.57,0.29,0.22,0.57,0.67,0.31,0.19,0.17,0.42,0.64,0.28,0.43
moviesandbox.csv,0.34,0.27,0.75,0.41,1.0,0.5,0.29,0.72,0.22,0.47,0.25,0.43,0.27,0.5,0.36,0.23,0.14
ontomorphtab.csv,0.97,0.27,0.67,0.65,0.27,0.7,0.52,0.39,0.67,0.67,0.5,0.36,0.26,0.96,0.69,0.34,0.57
opengs.csv,0.29,0.27,0.25,0.33,0.43,0.22,0.1,0.22,1.0,0.47,0.06,0.6,0.45,0.62,0.25,0.03,0.29
scite-ru.csv,0.86,0.09,0.83,0.76,0.84,0.73,0.76,0.28,0.63,1.0,1.0,0.08,0.06,0.73,0.81,0.12,1.0
tokratan.csv,0.0,0.0,0.0,0.07,0.25,0.02,0.1,0.0,0.0,0.87,0.0,0.03,0.05,0.04,0.0,0.01,0.14
vrjuggler.csv,0.8,0.09,0.75,0.46,0.14,0.53,0.24,0.94,0.31,0.67,0.94,0.16,0.11,0.31,0.61,0.06,0.86
wxcode.csv,0.09,0.0,0.08,0.07,0.0,0.0,0.1,0.0,0.0,0.13,0.0,0.07,0.06,0.15,0.0,0.0,1.0
xuggle.csv,0.69,0.82,0.58,0.85,0.64,0.25,0.33,0.78,0.69,0.73,0.06,0.51,0.73,0.46,0.19,0.33,0.71
