,mycila.csv,azureus.csv,octet.csv,autofac.csv
autofac.csv,0.34,0.55,0.57,
azureus.csv,0.33,,0.0,0.39
mycila.csv,,0.6,0.46,0.57
octet.csv,0.24,0.31,,0.32
