,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.4,0.52,0.03,0.39,0.17,0.43,0.2,0.32,0.47,0.38
arsenal-1.csv,0.95,0.24,0.32,0.03,0.08,0.21,0.07,0.0,0.07,0.0
barracudamvc.csv,0.25,0.79,1.0,1.0,1.0,0.79,1.0,0.93,0.93,1.0
irplus.csv,0.7,0.67,0.13,0.35,0.32,0.57,0.27,0.41,0.67,0.38
lite.csv,0.3,0.3,0.29,0.06,0.11,0.36,0.16,0.29,0.0,0.06
mumble.csv,0.55,0.91,0.81,0.16,0.18,0.57,0.68,0.39,0.47,0.62
ontopia.csv,0.25,0.82,0.26,0.42,0.52,0.29,0.25,0.59,0.67,0.81
openintents.csv,0.3,0.33,0.97,0.68,0.8,0.43,0.89,0.56,0.93,0.88
ta3d.csv,0.4,0.06,0.77,0.0,0.2,0.36,0.09,0.12,0.0,0.38
tweetsharp.csv,0.2,0.36,0.81,0.84,0.43,0.14,0.55,0.9,0.27,0.56
