,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.58,0.27,0.21,0.29,0.47,0.5,0.4,0.61,0.52,0.47,0.47,0.41,0.63,0.68,0.64,0.69,0.98,0.51
cornerstone.csv,0.43,0.31,0.23,0.34,0.55,0.69,0.33,0.48,0.45,0.46,0.98,0.42,0.75,0.69,0.61,0.78,0.61,0.43
emeraldemu.csv,0.54,0.29,0.24,0.36,0.43,0.4,0.27,0.97,0.43,0.55,0.48,0.36,0.63,0.46,0.59,0.55,0.61,0.38
grafx2.csv,0.61,0.31,0.19,0.39,0.62,0.57,0.39,0.57,0.48,0.63,0.65,0.49,0.69,0.98,0.68,0.75,0.74,0.53
jahshakafx.csv,0.98,0.35,0.26,0.21,0.38,0.22,0.32,0.44,0.34,0.26,0.55,0.28,0.56,0.4,0.38,0.37,0.5,0.22
kindb.csv,0.61,0.3,0.17,0.36,0.59,0.62,0.49,0.53,0.57,0.58,0.71,0.56,0.75,0.76,0.73,0.96,0.75,0.44
maya-work-in-progress.csv,0.52,0.27,0.17,0.36,0.82,0.63,0.51,0.55,0.58,0.97,0.59,0.42,0.78,0.62,0.76,0.74,0.72,0.57
netatalk.csv,0.6,0.34,0.21,0.38,0.39,0.46,0.55,0.57,0.47,0.48,0.57,0.58,0.59,0.51,0.58,0.72,0.54,1.0
novembre.csv,0.51,0.31,0.27,0.16,0.41,0.37,0.97,0.5,0.33,0.35,0.39,0.12,0.45,0.21,0.45,0.34,0.62,0.21
ns-3.csv,0.54,0.28,0.13,0.24,0.51,1.0,0.45,0.45,0.52,0.39,0.42,0.4,0.81,0.7,0.61,0.76,0.65,0.44
nullc.csv,0.42,0.21,0.11,0.22,1.0,0.74,0.41,0.46,0.52,0.5,0.67,0.4,0.83,0.67,0.78,0.7,0.7,0.4
open-beos.csv,0.44,0.22,0.15,0.23,0.61,0.55,0.35,0.54,0.97,0.42,0.57,0.35,0.67,0.56,0.64,0.54,0.68,0.32
planeshift.csv,0.52,0.28,0.12,0.2,0.58,0.69,0.5,0.53,0.58,0.52,0.55,0.44,1.0,0.75,0.68,0.79,0.68,0.46
plee-the-bear.csv,0.07,0.13,0.86,0.15,0.23,0.49,0.0,0.03,0.25,0.2,0.38,0.23,0.55,0.49,0.16,0.57,0.26,0.12
reaper-ecad.csv,0.46,0.19,0.17,0.98,0.6,0.63,0.42,0.54,0.38,0.53,0.65,0.06,0.74,0.38,0.65,0.63,0.63,0.46
sbml.csv,0.55,0.25,0.14,0.29,0.69,0.65,0.41,0.54,0.57,0.58,0.65,0.43,0.77,0.65,0.99,0.8,0.69,0.38
unimrcp.csv,0.53,0.28,0.23,0.23,0.41,0.14,0.35,0.5,0.21,0.06,0.38,0.96,0.32,0.31,0.23,0.49,0.53,0.44
unladen-swallow.csv,0.24,0.7,0.1,0.07,0.43,0.51,0.3,0.18,0.23,0.25,0.5,0.21,0.64,0.44,0.58,0.51,0.4,0.29
