,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.29,0.43,0.26,0.28,0.55,0.29,0.42,0.26,0.14,0.21,0.21,0.91,0.48,0.87,0.34,0.0,0.03,0.47
cornerstone.csv,0.5,0.39,0.37,0.29,0.27,0.57,0.75,0.56,0.44,0.11,0.0,0.97,0.52,1.0,0.53,0.88,0.46,0.87
emeraldemu.csv,0.17,0.25,0.19,0.29,0.09,0.13,0.1,0.0,0.11,0.04,0.45,0.14,0.13,0.03,0.06,0.0,0.25,0.08
grafx2.csv,0.31,0.41,0.37,0.26,0.55,0.27,0.55,0.31,0.26,0.19,0.47,0.34,0.24,0.0,0.25,0.25,0.38,0.29
jahshakafx.csv,0.0,0.16,0.11,0.11,0.09,0.08,0.15,0.1,0.08,0.02,0.23,0.05,0.2,0.03,0.06,0.06,0.18,0.05
kindb.csv,0.38,0.55,0.51,0.39,0.18,0.41,0.7,0.58,0.47,0.15,0.7,0.36,0.48,0.24,0.16,0.06,0.52,0.47
maya-work-in-progress.csv,0.69,0.5,0.5,0.4,0.82,0.32,0.65,0.42,0.44,0.0,0.85,0.24,0.57,0.16,0.28,0.12,0.68,0.29
netatalk.csv,0.17,0.27,0.26,0.25,0.0,0.19,0.22,0.15,0.07,0.0,0.3,0.16,0.15,0.03,0.22,0.0,0.17,0.0
novembre.csv,0.18,0.25,0.22,0.21,0.0,0.12,0.02,0.12,0.11,0.02,0.19,0.04,0.07,0.0,0.12,0.0,0.18,0.08
ns-3.csv,0.58,0.4,0.5,0.33,0.45,0.0,0.82,0.58,0.53,0.36,0.38,0.84,0.8,0.97,0.47,0.62,0.69,0.84
nullc.csv,0.9,1.0,0.99,1.0,0.0,0.83,0.88,0.78,0.79,0.96,0.49,0.77,0.98,0.89,0.88,0.69,0.97,0.79
open-beos.csv,0.51,0.49,0.41,0.31,0.27,0.49,0.45,0.27,0.0,0.19,0.57,0.47,0.35,0.89,0.47,0.06,0.38,0.32
planeshift.csv,0.61,0.54,0.78,0.71,0.55,0.51,0.75,0.55,0.51,0.36,0.32,0.69,0.0,0.24,0.38,0.81,0.76,0.76
plee-the-bear.csv,0.3,0.41,0.0,0.01,0.45,0.43,0.15,0.05,0.33,0.47,0.43,0.57,0.28,0.74,0.47,0.38,0.24,0.47
reaper-ecad.csv,0.81,0.44,0.4,0.01,0.09,0.41,0.38,0.46,0.29,0.51,0.83,0.05,0.48,0.0,0.31,0.06,0.32,0.34
sbml.csv,0.55,0.69,0.65,0.6,0.45,0.48,0.78,0.53,0.57,0.4,0.45,0.36,0.5,0.08,0.03,0.69,0.55,0.42
unimrcp.csv,0.09,0.1,0.08,0.09,0.09,0.03,0.1,0.06,0.03,0.02,0.13,0.0,0.07,0.03,0.0,0.0,0.13,0.0
unladen-swallow.csv,0.13,0.02,0.37,0.17,0.73,0.49,0.32,0.17,0.2,0.36,0.74,0.65,0.63,0.26,0.75,0.25,0.44,0.55
