,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.65,0.77,0.7,0.38,0.57,0.64,0.0,0.15,0.77,0.47
clamav.csv,0.67,0.92,0.75,0.44,0.7,0.45,0.67,0.65,0.77,0.78
dvd-create.csv,0.5,0.85,0.84,0.5,0.78,0.73,0.0,0.95,0.81,0.59
gbif-indexingtoolkit.csv,0.77,0.85,0.32,0.44,0.49,0.45,0.0,0.5,0.38,0.65
go.csv,0.86,1.0,0.76,0.56,0.49,0.55,0.08,0.35,0.77,0.78
kwave.csv,0.87,1.0,1.0,0.5,1.0,0.91,0.33,1.0,0.81,1.0
libarchive.csv,0.76,0.92,0.92,0.44,0.8,0.82,1.0,0.85,0.73,0.63
liferea.csv,0.46,0.77,0.29,0.25,0.45,0.27,0.42,0.2,0.12,0.49
linux-ntfs.csv,0.6,0.54,0.63,0.56,0.77,0.55,0.58,0.8,0.69,0.63
mpgravity.csv,0.9,0.92,0.7,0.5,0.77,0.91,0.67,0.9,0.92,0.94
