,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.65,0.66,0.72,0.42,0.59,0.54,0.0,0.18,0.64,0.51
clamav.csv,0.64,0.84,0.69,0.46,0.63,0.42,0.62,0.67,0.53,0.7
dvd-create.csv,0.52,0.65,0.68,0.52,0.79,0.61,0.0,0.72,0.52,0.6
gbif-indexingtoolkit.csv,0.65,0.42,0.35,0.47,0.48,0.49,0.0,0.38,0.41,0.36
go.csv,0.68,0.45,0.76,0.57,0.48,0.42,0.1,0.4,0.45,0.7
kwave.csv,0.66,0.0,0.0,0.54,0.0,0.58,0.38,0.0,0.63,0.0
libarchive.csv,0.72,0.57,0.68,0.47,0.69,0.29,0.56,0.79,0.49,0.66
liferea.csv,0.5,0.76,0.34,0.29,0.47,0.3,0.46,0.24,0.14,0.52
linux-ntfs.csv,0.58,0.57,0.55,0.47,0.67,0.56,0.47,0.73,0.66,0.63
mpgravity.csv,0.57,0.32,0.68,0.48,0.61,0.35,0.7,0.67,0.35,0.53
