,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.33,0.57,0.18,0.25,0.33,0.66,0.0,0.14,0.62,0.24
clamav.csv,0.47,0.39,0.49,0.46,0.56,0.68,0.51,0.22,0.76,0.5
dvd-create.csv,0.37,0.66,0.62,0.39,0.17,0.64,0.0,0.64,0.79,0.37
gbif-indexingtoolkit.csv,0.6,0.86,0.42,0.34,0.56,0.26,0.0,0.81,0.45,0.87
go.csv,0.63,0.86,0.24,0.36,0.56,0.78,0.0,0.14,0.83,0.5
kwave.csv,0.67,1.0,1.0,0.21,1.0,0.76,0.15,1.0,0.66,1.0
libarchive.csv,0.4,0.77,0.67,0.39,0.56,0.92,0.8,0.39,0.79,0.21
liferea.csv,0.23,0.27,0.04,0.27,0.39,0.38,0.29,0.03,0.21,0.31
linux-ntfs.csv,0.47,0.3,0.64,0.71,0.56,0.42,0.73,0.47,0.45,0.37
mpgravity.csv,0.77,0.91,0.4,0.59,0.67,0.9,0.15,0.67,0.9,0.81
