,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.95,0.55,0.42,0.44,0.56,0.93,0.69,0.65,0.55,0.95,0.5,0.57,0.67,0.72,0.67,0.81
arsenal-1.csv,0.92,0.6,0.5,0.57,0.0,0.57,0.5,0.5,0.86,0.91,0.0,0.86,0.86,0.68,0.86,0.83
bnetd.csv,0.31,0.36,0.38,0.38,0.31,0.3,0.44,0.38,0.41,0.41,0.36,0.47,0.39,0.39,0.48,0.49
cascading.csv,0.46,0.37,0.4,0.32,0.39,0.33,0.55,0.5,0.42,0.69,0.75,0.55,0.91,0.53,0.49,0.5
fm-classic.csv,0.9,0.86,0.89,0.88,0.83,0.89,0.9,0.73,0.92,0.8,0.67,0.67,0.58,0.94,0.92,0.69
free-evolution.csv,0.38,0.34,0.43,0.38,0.35,0.91,0.54,0.43,0.42,0.34,0.46,0.65,0.37,0.97,0.46,0.44
gnome-jabber.csv,0.52,0.46,0.38,0.88,0.34,0.38,0.43,0.38,0.45,0.62,0.46,0.47,0.37,0.54,0.62,0.43
guineu.csv,0.58,0.75,0.44,0.44,0.92,0.64,0.68,0.91,0.82,0.67,0.52,0.66,0.45,0.9,0.77,0.66
ipfilter.csv,0.5,0.41,0.59,0.44,0.41,0.31,0.76,0.57,0.46,0.42,0.54,0.58,0.47,0.44,0.48,0.59
jruby.csv,0.62,0.38,0.0,0.43,0.35,0.48,0.0,0.5,0.46,0.45,0.32,0.75,0.31,0.55,0.54,0.65
l2j.csv,0.37,0.42,0.34,0.64,0.63,0.38,0.42,0.44,0.53,0.43,0.61,0.47,0.77,0.47,0.46,0.51
libmesh.csv,0.66,0.88,0.64,0.0,0.0,0.94,0.92,0.88,0.77,0.0,0.0,0.78,0.0,0.71,0.9,0.9
mvdsv.csv,0.0,0.0,0.82,0.0,0.88,0.0,0.86,0.8,0.88,0.0,0.75,0.8,0.67,0.0,0.86,0.5
stajistics.csv,0.31,0.34,0.49,0.35,0.38,0.32,0.49,0.76,0.46,0.33,0.52,0.58,0.38,0.41,0.45,0.45
twostep.csv,0.3,0.33,0.34,0.33,0.3,0.52,0.39,0.45,0.4,0.38,0.32,0.48,0.46,0.5,0.44,0.41
x4x.csv,0.48,0.48,0.4,0.51,0.42,0.35,0.42,0.54,0.45,0.52,0.57,0.45,0.38,0.41,0.47,0.69
