,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.19,0.75,0.18,0.87,0.19,0.19,0.14,0.24,0.61,0.4,0.0,0.27,0.0,0.39,0.53,0.38
arsenal-1.csv,0.12,0.5,0.02,0.23,0.0,0.4,0.0,0.02,0.09,0.07,0.0,0.05,0.0,0.17,0.05,0.04
bnetd.csv,1.0,0.92,0.75,0.42,0.76,1.0,0.17,0.78,0.94,1.0,0.4,0.46,0.16,0.99,0.84,0.91
cascading.csv,0.47,0.58,1.0,0.74,0.84,0.79,0.4,0.39,0.45,0.11,0.0,0.48,0.11,0.25,0.84,0.59
fm-classic.csv,0.12,0.33,0.03,0.1,0.1,0.09,0.11,0.26,0.12,0.04,0.0,0.01,0.05,0.08,0.0,0.25
free-evolution.csv,0.53,0.42,0.27,0.42,0.9,0.16,0.29,0.5,0.64,0.58,0.8,0.35,0.95,0.03,0.53,0.54
gnome-jabber.csv,0.4,0.17,0.38,0.03,0.79,0.53,0.71,0.54,0.3,0.2,0.2,0.6,0.84,0.55,0.26,0.64
guineu.csv,0.31,0.0,0.92,0.87,0.19,0.35,0.46,0.22,0.36,0.16,1.0,0.32,0.63,0.03,0.0,0.26
ipfilter.csv,0.64,0.75,0.7,0.77,0.95,0.96,0.69,0.8,0.82,1.0,1.0,0.79,0.11,0.92,0.95,0.84
jruby.csv,0.34,0.42,0.0,0.52,0.81,0.47,0.03,0.0,0.79,0.96,0.4,0.02,0.89,0.53,0.63,0.48
l2j.csv,0.69,0.67,0.4,0.19,0.21,0.71,0.4,0.48,0.55,0.24,0.2,0.4,0.26,0.29,0.79,0.74
libmesh.csv,0.5,0.42,0.75,0.0,0.0,0.24,0.49,0.28,0.45,0.0,0.0,0.48,0.0,0.45,0.05,0.49
mvdsv.csv,0.0,0.0,0.03,0.0,0.03,0.0,0.03,0.09,0.03,0.0,0.0,0.05,0.0,0.0,0.05,0.03
stajistics.csv,0.84,0.67,0.58,0.65,0.94,0.81,0.63,0.28,0.42,0.53,1.0,0.47,1.0,0.68,0.47,0.28
twostep.csv,0.83,0.75,0.33,0.94,0.65,0.38,0.49,0.41,0.39,0.18,0.4,0.31,0.21,0.28,0.84,0.52
x4x.csv,0.5,0.25,1.0,0.61,0.7,0.78,0.43,0.43,0.91,0.87,1.0,0.99,0.89,0.92,0.95,0.58
