,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.0,0.0,0.0,2.0,10.0,9.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,9.0
arsenal-1.csv,1.0,0.0,0.0,0.0,68.0,21.0,0.0,1.0,2.0,1.0,96.0,5.0,0.0,2.0,0.0,2.0
bnetd.csv,0.0,0.0,1.0,1.0,15.0,29.0,0.0,0.0,0.0,19.0,0.0,6.0,0.0,5.0,0.0,11.0
cascading.csv,1.0,0.0,2.0,0.0,22.0,21.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,6.0
fm-classic.csv,5.0,0.0,0.0,0.0,68.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,8.0
free-evolution.csv,7.0,0.0,3.0,1.0,22.0,70.0,2.0,4.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,7.0
gnome-jabber.csv,10.0,0.0,0.0,0.0,17.0,8.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,12.0
guineu.csv,0.0,0.0,2.0,2.0,68.0,9.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0
ipfilter.csv,0.0,0.0,2.0,2.0,58.0,28.0,1.0,0.0,0.0,0.0,3.0,15.0,0.0,5.0,0.0,11.0
jruby.csv,9.0,0.0,111.0,4.0,18.0,8.0,73.0,0.0,0.0,19.0,0.0,0.0,4.0,8.0,0.0,13.0
l2j.csv,0.0,1.0,2.0,0.0,4.0,15.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0
libmesh.csv,0.0,0.0,2.0,57.0,68.0,10.0,1.0,1.0,0.0,0.0,96.0,11.0,64.0,4.0,1.0,11.0
mvdsv.csv,83.0,53.0,0.0,57.0,0.0,70.0,0.0,3.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,98.0
stajistics.csv,17.0,0.0,7.0,0.0,27.0,44.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,2.0
twostep.csv,0.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
x4x.csv,10.0,0.0,2.0,2.0,15.0,19.0,2.0,3.0,0.0,0.0,3.0,16.0,0.0,2.0,0.0,8.0
