,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.35,0.52,0.65,0.78,0.67,0.33,0.21,0.23,0.71,0.15,0.02,0.39,0.07,0.48,0.62,0.33
arsenal-1.csv,0.23,0.21,0.02,0.59,0.0,0.33,0.05,0.04,0.03,0.31,0.0,0.06,0.15,0.26,0.16,0.1
bnetd.csv,0.96,0.93,0.85,0.59,1.0,1.0,0.72,0.42,0.96,0.96,0.37,0.58,0.61,0.98,0.92,0.8
cascading.csv,0.54,0.74,1.0,0.89,1.0,1.0,0.67,0.31,0.72,0.42,0.04,0.55,0.2,0.35,0.83,0.77
fm-classic.csv,0.12,0.07,0.13,0.19,0.0,1.0,0.15,0.38,0.17,0.12,0.03,0.06,0.39,0.06,0.1,0.4
free-evolution.csv,0.62,0.64,0.5,0.48,1.0,0.0,0.46,0.27,0.67,0.92,0.85,0.45,0.96,0.17,0.48,0.5
gnome-jabber.csv,0.38,0.52,0.56,0.26,1.0,1.0,0.79,0.35,0.49,0.27,0.61,0.73,0.72,0.45,0.23,0.8
guineu.csv,0.69,0.1,0.92,0.78,0.0,0.33,0.31,0.04,0.33,0.31,1.0,0.48,0.7,0.04,0.25,0.47
ipfilter.csv,0.5,0.76,0.65,0.7,0.67,1.0,0.36,0.92,0.84,1.0,0.96,0.64,0.93,0.85,0.89,0.57
jruby.csv,0.35,0.69,0.0,0.44,1.0,0.33,0.0,0.08,0.74,0.85,0.46,0.06,0.74,0.62,0.67,0.33
l2j.csv,0.85,0.6,0.65,0.3,1.0,0.67,0.67,0.19,0.51,0.73,0.18,0.58,0.17,0.73,0.67,0.63
libmesh.csv,0.35,0.29,0.46,0.0,0.0,0.33,0.23,0.42,0.35,0.04,0.0,0.42,0.0,0.27,0.07,0.23
mvdsv.csv,0.0,0.0,0.29,0.0,1.0,0.0,0.15,0.04,0.06,0.04,0.04,0.0,0.07,0.01,0.05,0.0
stajistics.csv,0.73,0.71,0.58,0.74,1.0,0.33,0.79,0.46,0.49,0.92,0.99,0.52,0.98,0.82,0.42,0.77
twostep.csv,0.81,0.74,0.63,0.93,1.0,0.33,0.74,0.46,0.71,0.81,0.46,0.45,0.43,0.45,0.84,0.77
x4x.csv,0.58,0.71,1.0,0.67,1.0,0.67,0.72,0.23,0.82,0.65,0.86,1.0,0.76,0.91,0.94,0.5
