,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,xstore.csv,xreal.csv
agilitybook.csv,0.29,0.16,0.22,0.35,0.12,0.18,0.27,0.23
apolloplayer.csv,0.31,0.24,0.61,0.24,0.38,0.54,0.41,0.57
k3d.csv,0.41,0.01,0.02,0.62,0.0,0.15,0.15,0.1
redshell.csv,0.18,0.43,0.81,0.32,0.25,0.75,0.56,0.49
rtb-team.csv,0.03,0.23,0.18,0.16,0.12,0.05,0.2,0.14
xreal.csv,0.13,0.47,0.08,0.05,0.12,0.45,0.22,0.01
xstore.csv,0.46,0.24,0.49,0.05,0.62,0.5,0.27,0.39
