,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.25,0.73,0.58,0.67,0.71,0.55,0.69,0.51,0.52,0.6,0.36,0.35
bscwweasel.csv,0.04,0.17,0.52,0.68,0.6,0.46,0.41,0.48,0.39,0.54,0.37,0.3
capcode.csv,0.02,0.72,0.17,0.58,0.51,0.6,0.2,0.26,0.52,0.35,0.36,0.38
emite.csv,0.61,0.25,0.23,0.18,0.22,0.1,0.15,0.11,0.16,0.25,0.0,0.64
lamp.csv,0.16,0.66,0.41,0.65,0.53,0.52,0.51,0.56,0.6,0.66,0.3,0.33
mecat.csv,0.0,0.09,0.09,0.06,0.23,0.2,0.0,0.09,0.0,0.36,0.97,0.0
nodal.csv,0.01,0.25,0.55,0.39,0.37,0.38,0.04,0.19,0.56,0.66,0.37,0.12
pydev.csv,0.34,0.47,0.48,0.48,0.85,0.57,0.34,0.41,0.49,0.69,0.83,0.19
retromenu.csv,0.46,0.54,0.46,0.34,0.83,0.69,0.29,0.27,0.39,0.44,0.0,0.27
smbopensoft.csv,0.81,0.13,0.24,0.5,0.46,0.52,0.61,0.23,0.7,0.42,0.35,0.51
stuproa-cims.csv,0.45,0.17,0.51,0.49,0.71,0.37,0.05,0.59,0.38,0.62,0.75,0.33
thout.csv,0.21,0.05,0.59,0.34,0.48,0.27,0.21,0.29,0.24,0.46,0.24,0.2
