,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.17,0.54,0.21,0.32,0.26,0.37,0.54,0.28,0.17,0.52,0.0
elateportal.csv,0.56,0.34,0.67,0.31,0.76,0.29,0.44,0.28,1.0,0.88,0.0
etics.csv,0.12,0.16,0.24,0.11,0.32,0.04,0.04,0.08,0.5,0.22,0.0
lockss.csv,0.19,0.5,0.43,0.21,0.44,0.3,0.69,0.28,0.33,0.87,0.17
pcgen.csv,0.93,1.0,1.0,0.21,1.0,0.27,1.0,0.12,1.0,1.0,1.0
personalaccess.csv,0.06,0.36,0.17,0.43,0.16,0.42,0.43,0.36,0.67,0.83,0.17
pydev.csv,0.16,0.63,0.21,0.12,0.41,0.36,0.63,0.28,0.83,0.3,0.0
rhex.csv,0.25,0.31,0.0,0.16,0.28,0.77,0.04,0.44,0.17,0.52,0.67
stuproa-cims.csv,0.02,0.11,0.07,0.33,0.47,0.26,0.17,0.08,0.33,0.61,0.17
uclmda.csv,0.14,0.06,0.12,0.05,0.1,0.01,0.07,0.2,0.0,0.13,0.17
wgs-assembler.csv,0.42,0.36,0.29,0.44,0.51,0.79,0.34,0.56,0.5,0.86,0.17
