,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.12,0.37,0.31,0.3,0.36,0.21,0.19,0.87,0.0,0.38,1.0
elateportal.csv,0.15,0.29,0.18,0.51,0.15,0.25,0.33,0.82,0.96,0.27,1.0
etics.csv,0.29,0.39,0.47,0.7,0.21,0.33,0.54,0.95,0.7,0.38,1.0
lockss.csv,0.21,0.44,0.31,0.65,0.21,0.3,0.26,0.92,0.98,0.35,0.97
pcgen.csv,0.14,0.36,0.22,0.69,0.17,0.24,0.26,0.94,0.96,0.34,0.88
personalaccess.csv,0.38,0.46,0.5,0.56,0.35,0.26,0.26,0.92,0.95,0.36,0.94
pydev.csv,0.28,0.37,0.47,0.68,0.26,0.21,0.25,0.89,0.29,0.56,1.0
rhex.csv,0.35,0.46,0.0,0.63,0.14,0.2,0.57,0.83,0.99,0.39,0.43
stuproa-cims.csv,0.5,0.43,0.4,0.59,0.2,0.31,0.53,0.95,0.98,0.35,0.75
uclmda.csv,0.15,0.33,0.0,0.5,0.0,0.0,0.08,0.64,1.0,0.1,0.67
wgs-assembler.csv,0.17,0.47,0.33,0.53,0.24,0.21,0.31,0.87,0.96,0.37,0.75
