,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.42,0.38,0.61,0.35,0.57,0.31,0.95,0.56,0.38,0.4
gamestone.csv,0.08,1.0,0.29,0.13,0.14,0.06,0.21,0.16,0.23,0.12
gbif-providertoolkit.csv,0.06,0.0,0.18,0.03,0.93,0.08,0.0,0.2,0.23,0.04
heekscad.csv,1.0,0.25,0.7,0.81,0.71,0.24,0.29,0.52,0.85,0.52
igarden.csv,0.4,0.38,0.21,0.9,0.07,0.37,0.21,0.2,0.69,0.29
levent.csv,0.64,0.25,0.46,0.48,0.71,0.98,0.47,0.48,0.23,0.38
owlapi.csv,0.18,0.0,0.09,0.0,0.07,0.04,0.16,0.92,0.31,0.04
pnotepad.csv,0.91,0.88,0.86,1.0,0.86,0.88,0.89,0.88,0.85,1.0
quark.csv,0.01,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.0,0.0
xcsoar.csv,0.58,0.38,0.96,0.39,0.71,0.65,0.58,0.52,1.0,0.31
