,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.47,0.43,0.59,0.38,0.57,0.36,0.96,0.55,0.38,0.45
gamestone.csv,0.1,1.0,0.33,0.16,0.17,0.07,0.25,0.19,0.27,0.15
gbif-providertoolkit.csv,0.07,0.0,0.22,0.04,0.94,0.1,0.0,0.24,0.27,0.05
heekscad.csv,1.0,0.28,0.67,0.69,0.69,0.28,0.33,0.53,0.61,0.55
igarden.csv,0.45,0.42,0.25,0.92,0.09,0.41,0.25,0.24,0.49,0.33
levent.csv,0.67,0.29,0.49,0.51,0.71,0.98,0.48,0.5,0.26,0.42
owlapi.csv,0.21,0.0,0.11,0.0,0.09,0.05,0.19,0.93,0.35,0.05
pnotepad.csv,0.63,0.68,0.63,0.05,0.34,0.63,0.58,0.45,0.5,0.98
quark.csv,0.01,0.0,0.0,0.0,0.17,0.0,0.0,0.0,1.0,0.0
xcsoar.csv,0.61,0.42,0.97,0.43,0.69,0.66,0.55,0.55,0.6,0.36
