,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.99,0.53,0.7,0.58,0.98,0.01,0.54,0.88,0.77,0.81,0.54,0.73,0.57,0.66,0.96,0.82
fontforge.csv,0.84,0.52,0.83,0.78,0.69,0.76,0.15,0.0,0.73,0.63,0.91,0.75,0.81,0.89,0.65,1.0
glas.csv,0.78,0.73,0.7,0.78,0.8,0.7,0.4,0.85,0.66,0.48,0.66,0.74,0.65,0.03,0.79,0.61
hannosset.csv,0.98,1.0,1.0,1.0,0.74,0.99,1.0,1.0,1.0,0.97,0.99,0.94,0.93,1.0,0.0,0.96
hatari.csv,0.6,0.56,0.07,0.76,0.61,0.57,0.44,1.0,0.66,0.8,0.46,0.74,0.68,0.8,0.59,0.74
jaolt.csv,0.83,0.8,0.77,0.88,0.99,0.77,0.85,1.0,0.93,0.93,0.52,0.99,0.01,1.0,0.77,0.83
ltp.csv,0.97,0.8,0.81,0.76,0.02,0.94,1.0,0.84,0.84,0.98,0.98,0.94,0.82,1.0,0.55,0.92
mia.csv,0.91,0.54,1.0,0.77,0.78,0.77,1.03,0.96,0.92,0.72,0.88,0.06,0.68,0.97,1.01,0.97
net-snmp.csv,0.02,0.83,0.7,0.74,0.7,0.68,0.21,0.9,0.82,0.7,0.52,0.76,0.79,0.95,0.86,0.8
opde.csv,0.51,0.67,0.74,0.04,0.47,0.74,1.08,0.7,0.84,0.69,0.47,0.76,0.63,0.84,0.73,0.79
oppna-program-hsatools.csv,0.7,0.76,0.87,0.91,0.89,0.66,1.36,1.01,0.82,0.98,0.0,0.96,0.83,0.86,0.66,0.75
powerfolder-.csv,0.9,0.0,1.0,0.89,0.97,0.91,0.02,0.6,0.84,0.94,0.76,0.83,0.79,0.97,1.0,0.96
qlc.csv,0.69,0.94,1.0,0.92,1.0,1.0,1.0,0.72,0.06,1.0,0.95,1.0,0.97,0.89,1.0,0.92
quantlib.csv,0.92,0.58,0.53,0.68,0.61,0.86,0.25,0.72,0.81,0.8,0.84,0.54,0.84,0.68,0.86,0.04
tcl.csv,0.75,0.6,0.82,0.8,0.76,0.76,0.48,0.73,0.68,0.03,0.77,0.82,0.61,0.76,0.67,0.74
