,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.9,0.74,0.62,0.6,0.02,1.0,1.0,0.21,0.56,0.26,0.52,0.56,0.6,0.38,0.17,0.29
fontforge.csv,0.17,0.58,0.17,0.24,0.53,0.26,1.0,1.0,0.28,0.46,0.09,0.28,0.19,0.11,0.5,0.0
glas.csv,0.49,0.55,0.34,0.36,0.62,0.74,1.0,0.88,0.72,0.64,0.54,0.56,0.53,0.97,0.83,0.5
hannosset.csv,0.02,0.0,0.0,0.0,0.33,0.02,0.0,0.0,0.0,0.03,0.01,0.06,0.07,0.0,1.0,0.04
hatari.csv,0.56,0.81,0.93,0.72,0.69,0.62,1.0,0.96,0.72,0.56,0.62,0.78,0.66,0.27,0.83,0.38
jaolt.csv,0.88,0.9,0.83,0.84,0.98,0.92,1.0,1.0,1.0,0.95,0.71,0.94,0.99,0.97,1.0,0.62
ltp.csv,0.05,0.26,0.21,0.24,0.98,0.06,0.0,0.17,0.17,0.03,0.02,0.11,0.19,0.0,0.5,0.08
mia.csv,0.1,0.61,0.0,0.24,0.24,0.42,0.0,0.04,0.17,0.46,0.87,0.94,0.41,0.03,0.0,0.04
net-snmp.csv,0.98,0.23,0.31,0.28,0.62,0.36,1.0,0.12,0.22,0.51,0.5,0.28,0.23,0.05,0.17,0.25
opde.csv,0.71,0.87,0.48,0.96,0.76,0.59,0.0,0.42,0.61,0.67,0.64,0.33,0.52,0.16,0.83,0.29
oppna-program-hsatools.csv,0.73,0.84,0.86,1.0,0.97,0.76,0.0,0.88,0.83,0.97,1.0,0.89,0.96,0.24,0.5,0.71
powerfolder-.csv,0.1,1.0,0.0,0.12,0.03,0.11,1.0,0.46,0.17,0.08,0.27,0.17,0.22,0.03,0.0,0.04
qlc.csv,0.34,0.06,0.0,0.08,0.0,0.0,0.0,0.38,0.94,0.0,0.07,0.0,0.03,0.11,0.0,0.08
quantlib.csv,0.1,0.58,0.48,0.36,0.54,0.79,1.0,0.38,0.22,0.23,0.85,0.5,0.84,0.32,0.17,0.96
tcl.csv,0.46,0.74,0.45,0.52,0.32,0.32,1.0,0.67,0.67,0.97,0.32,0.28,0.59,0.46,0.67,0.38
