,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.61,0.92,0.88,0.43,0.5,0.97,0.7,0.92,0.68,0.67,0.8,0.95,0.67
cuberok.csv,0.64,0.49,0.49,0.7,0.61,0.51,0.47,0.49,0.49,0.75,0.47,0.8,0.8
exist.csv,0.47,0.46,0.54,0.41,0.48,0.46,0.5,0.64,0.44,0.6,0.53,0.94,0.64
google-web-toolkit.csv,0.48,0.73,0.57,0.42,0.85,0.68,0.72,0.56,0.87,0.83,0.5,0.97,0.75
gwanted.csv,0.4,0.9,0.45,0.39,0.88,0.91,0.93,0.96,0.95,0.75,0.44,0.5,0.0
ivatamasks.csv,0.4,0.44,0.65,0.4,0.61,0.48,0.52,0.65,0.66,0.71,0.61,0.95,0.86
ivataopenportal.csv,0.36,0.62,0.45,0.5,0.39,0.57,0.39,0.46,0.38,0.35,0.44,0.41,0.47
jaxen.csv,0.94,0.67,0.8,0.0,0.89,0.67,0.98,0.86,0.96,0.0,0.97,0.75,0.0
rockbox.csv,0.92,0.94,0.67,0.39,0.42,0.95,0.55,0.52,0.5,0.57,0.43,0.53,0.45
rodin-b-sharp.csv,0.69,0.95,0.5,0.36,0.86,0.75,0.68,0.93,0.95,0.88,0.89,0.91,0.83
tcl.csv,0.94,0.86,0.94,0.53,0.8,0.79,0.91,0.97,0.97,0.5,0.98,0.93,0.9
umber.csv,0.61,0.69,0.67,0.37,0.88,0.96,0.76,0.95,0.73,0.62,0.73,0.97,0.0
wheat.csv,0.44,0.59,0.68,0.83,0.67,0.5,0.66,0.66,0.44,0.5,0.7,0.75,0.66
