,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.16,0.04,0.09,0.38,0.31,0.08,0.23,0.12,0.13,0.08,0.15,0.0,0.03
cuberok.csv,0.56,0.47,0.45,0.6,0.06,0.36,0.5,0.51,0.41,0.29,0.59,0.21,0.06
exist.csv,0.45,0.15,0.26,0.42,0.46,0.24,0.42,0.21,0.04,0.25,0.3,0.08,0.22
google-web-toolkit.csv,0.62,0.26,0.24,0.38,0.34,0.3,0.29,0.54,0.16,0.21,0.01,0.25,0.09
gwanted.csv,0.84,0.0,0.88,0.78,0.11,0.02,0.16,0.0,0.06,0.12,0.74,0.01,0.0
ivatamasks.csv,0.6,0.0,0.39,0.57,0.29,0.35,0.35,0.3,0.25,0.29,0.39,0.13,0.28
ivataopenportal.csv,0.89,0.45,0.77,0.78,0.97,0.01,0.72,0.85,0.66,0.88,0.73,0.95,0.88
jaxen.csv,0.27,0.0,0.0,0.0,0.11,0.02,0.17,0.14,0.06,0.0,0.1,0.02,0.0
rockbox.csv,0.2,0.02,0.15,0.42,0.34,0.06,0.36,0.35,0.28,0.33,0.35,0.41,0.06
rodin-b-sharp.csv,0.11,0.13,0.02,0.9,0.17,0.03,0.0,0.27,0.12,0.12,0.23,0.07,0.12
tcl.csv,0.25,0.55,0.2,0.05,0.09,0.45,0.23,0.22,0.19,0.04,0.18,0.09,0.25
umber.csv,0.0,0.17,0.02,1.0,0.14,0.11,0.22,0.12,0.19,0.42,0.21,0.21,0.0
wheat.csv,0.45,0.6,0.46,0.1,0.43,0.64,0.54,0.46,0.78,0.0,0.41,0.41,0.72
