,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.52,0.12,0.24,0.41,0.45,0.23,0.25,0.33,0.4,0.05,0.24,0.93,0.13
cuberok.csv,0.13,0.66,0.73,0.41,0.95,0.49,0.73,0.65,0.65,0.36,0.52,0.46,0.19
exist.csv,0.48,0.57,0.62,0.52,0.43,0.45,0.28,0.43,0.95,0.36,0.4,0.29,0.25
google-web-toolkit.csv,0.41,0.41,0.63,0.49,0.4,0.37,0.26,0.54,0.32,0.29,0.99,0.2,0.06
gwanted.csv,0.4,0.12,0.33,0.56,0.21,0.1,0.35,0.91,0.18,0.05,0.58,0.05,0.0
ivatamasks.csv,0.66,1.0,0.43,0.62,0.4,0.46,0.65,0.43,0.4,0.29,0.43,0.1,0.3
ivataopenportal.csv,0.38,0.46,0.35,0.46,0.13,0.97,0.59,0.43,0.63,0.39,0.56,0.21,0.41
jaxen.csv,0.06,0.04,1.0,0.04,0.27,0.01,0.12,0.37,0.21,0.0,0.12,0.05,0.0
rockbox.csv,0.13,0.18,0.64,0.51,0.57,0.17,0.33,0.42,0.47,0.49,0.45,0.58,0.95
rodin-b-sharp.csv,0.58,0.18,0.0,0.35,0.06,0.01,0.98,0.21,0.31,0.21,0.23,0.05,0.13
tcl.csv,0.13,0.33,0.0,0.97,0.11,0.41,0.41,0.33,0.17,0.05,0.19,0.1,0.13
umber.csv,0.96,0.36,0.24,0.0,0.17,0.17,0.19,0.17,0.3,0.42,0.25,0.1,0.0
wheat.csv,0.69,0.5,0.42,0.06,0.3,0.58,0.28,0.32,0.48,1.0,0.36,0.36,0.31
