,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.47,0.1,0.2,0.38,0.41,0.19,0.21,0.29,0.35,0.04,0.2,0.92,0.11
cuberok.csv,0.11,0.7,0.8,0.41,0.95,0.46,0.82,0.71,0.67,0.32,0.56,0.42,0.16
exist.csv,0.47,0.53,0.6,0.51,0.41,0.41,0.25,0.39,0.95,0.32,0.36,0.25,0.21
google-web-toolkit.csv,0.42,0.37,0.6,0.46,0.36,0.33,0.22,0.57,0.28,0.25,0.99,0.17,0.05
gwanted.csv,0.63,0.1,0.6,0.92,0.18,0.08,0.31,0.89,0.15,0.04,0.85,0.04,0.0
ivatamasks.csv,0.79,1.0,0.4,0.69,0.36,0.43,0.65,0.39,0.36,0.25,0.4,0.08,0.26
ivataopenportal.csv,0.95,0.44,0.4,0.64,0.91,0.96,0.82,0.82,0.8,0.89,0.77,1.0,1.0
jaxen.csv,0.05,0.03,1.0,0.03,0.23,0.01,0.1,0.32,0.18,0.0,0.1,0.04,0.0
rockbox.csv,0.11,0.15,0.6,0.49,0.55,0.14,0.29,0.39,0.43,0.46,0.42,0.58,0.95
rodin-b-sharp.csv,0.53,0.15,0.0,0.97,0.05,0.01,0.97,0.18,0.27,0.18,0.2,0.04,0.11
tcl.csv,0.11,0.31,0.0,0.97,0.09,0.39,0.37,0.29,0.14,0.04,0.16,0.08,0.11
umber.csv,0.95,0.32,0.2,1.0,0.14,0.14,0.16,0.14,0.26,0.39,0.21,0.08,0.0
wheat.csv,0.74,0.53,0.4,0.05,0.27,0.69,0.25,0.29,0.67,1.0,0.33,0.33,0.32
