,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.94,0.68,0.74,0.47,0.57,0.69,0.52,0.79,0.59,0.83,0.79,0.44,0.92
flylinkdc.csv,0.7,0.0,0.67,0.44,0.74,0.33,0.5,0.78,0.42,0.54,0.5,0.47,0.5
fw4spl.csv,0.95,0.91,0.83,0.0,0.98,0.61,0.9,0.84,0.93,0.84,0.96,0.66,0.94
grisbi.csv,0.36,0.58,0.34,0.34,0.39,0.34,0.32,0.34,0.35,0.39,0.42,0.36,0.34
mesa3d.csv,0.72,0.78,0.68,0.65,0.67,0.76,0.76,0.94,0.95,0.81,0.72,0.88,0.8
nuttx.csv,0.41,0.61,0.46,0.37,0.43,0.44,0.4,0.54,0.42,0.69,0.61,0.73,0.48
panda3d.csv,0.68,0.8,0.94,0.8,0.93,0.59,0.62,0.59,0.69,0.8,0.74,0.83,0.91
proftp.csv,0.49,0.78,0.42,0.39,0.5,0.47,0.52,0.5,0.62,0.53,0.72,0.69,0.48
qmmp.csv,0.5,0.96,0.6,0.65,0.43,0.35,0.47,0.53,0.45,0.72,0.52,0.72,0.5
skia.csv,0.93,0.94,0.74,0.54,0.65,0.52,0.83,0.95,0.93,0.69,0.72,0.92,0.59
tart.csv,0.0,0.0,0.5,0.0,0.67,0.75,0.5,0.5,0.75,0.0,0.75,0.0,0.0
tcvp.csv,0.95,0.89,0.89,0.94,0.94,0.89,0.87,0.89,0.93,0.89,0.74,0.95,0.92
utgb.csv,0.84,0.96,0.64,0.54,0.98,0.8,0.89,0.0,0.9,0.78,0.75,0.76,0.9
