,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.67,0.51,0.84,0.7,0.67,0.71,0.68,0.58,0.49,0.57,0.6,0.0,0.54,0.65,0.43
firebird.csv,0.88,0.45,0.62,0.04,0.6,0.61,0.73,0.56,0.54,0.66,0.69,0.57,0.7,0.72,0.44
flylegacy.csv,0.66,0.97,0.0,0.75,0.71,0.63,0.46,0.71,0.54,0.49,0.63,0.73,0.57,0.82,0.41
gzigzag.csv,0.61,0.74,0.62,0.67,0.84,0.56,0.03,0.59,0.52,0.51,0.58,0.9,0.86,0.75,0.58
hydrogen.csv,0.75,0.59,0.78,0.67,0.84,0.86,0.95,0.75,0.0,0.79,0.77,0.94,0.91,0.71,0.47
mcore3d.csv,0.5,0.55,0.69,0.72,0.03,0.7,0.71,0.71,0.48,0.67,0.64,0.69,0.48,0.7,0.69
nabu-library.csv,0.78,0.66,0.84,0.8,0.76,0.73,0.82,0.79,0.66,0.56,0.85,0.85,0.03,0.87,0.7
ogrehg.csv,0.71,0.71,0.78,0.72,0.68,0.65,0.62,0.61,0.63,0.64,0.01,0.83,1.1,0.4,0.62
qgo.csv,0.59,0.03,0.74,0.57,0.54,0.67,0.58,0.62,0.4,0.43,0.6,0.5,0.59,0.5,0.42
qtractor.csv,0.7,0.45,0.54,0.59,0.66,0.63,0.58,0.49,0.36,0.07,0.56,0.76,0.93,0.59,0.42
rhex.csv,0.01,0.61,0.73,0.69,0.81,0.66,0.7,0.54,0.57,0.69,0.76,1.0,0.66,0.87,0.47
rocrail.csv,0.83,0.77,0.76,0.71,0.91,0.92,0.77,0.76,0.57,0.71,0.82,0.97,0.93,0.71,0.0
webdriver.csv,0.58,0.66,0.78,0.79,0.67,0.44,0.52,0.03,0.47,0.64,0.53,0.85,0.74,0.61,0.45
xined.csv,1.02,0.89,0.72,0.86,0.9,0.9,0.55,0.71,0.59,0.59,0.75,0.81,0.88,0.1,0.67
yield.csv,0.5,0.64,0.85,0.68,0.55,0.03,0.85,0.93,0.54,0.71,0.57,0.76,1.0,0.78,0.7
