,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.23,0.67,0.78,0.62,0.56,0.43,0.37,0.59,0.35,0.6,0.51,1.0,0.6,0.32,0.53
firebird.csv,0.11,0.65,0.61,0.97,0.66,0.52,0.3,0.56,0.34,0.57,0.45,0.59,0.43,0.26,0.49
flylegacy.csv,0.27,0.06,1.0,0.67,0.7,0.6,0.49,0.41,0.32,0.64,0.51,0.43,0.57,0.28,0.55
gzigzag.csv,0.26,0.58,0.64,0.47,0.27,0.58,0.98,0.53,0.43,0.72,0.51,0.22,0.24,0.24,0.39
hydrogen.csv,0.3,0.53,0.37,0.47,0.27,0.25,0.08,0.37,1.0,0.34,0.34,0.11,0.16,0.33,0.56
mcore3d.csv,0.32,0.57,0.62,0.49,0.98,0.56,0.36,0.48,0.41,0.48,0.46,0.61,0.65,0.28,0.31
nabu-library.csv,0.26,0.63,0.7,0.55,0.81,0.66,0.4,0.56,0.31,0.66,0.5,0.66,0.98,0.27,0.42
ogrehg.csv,0.22,0.41,0.38,0.44,0.48,0.48,0.38,0.51,0.27,0.51,0.99,0.3,0.18,0.48,0.36
qgo.csv,0.26,0.98,0.82,0.63,0.66,0.46,0.4,0.51,0.49,0.79,0.51,0.74,0.54,0.41,0.52
qtractor.csv,0.24,0.66,0.73,0.58,0.58,0.55,0.42,0.62,0.44,0.96,0.53,0.42,0.45,0.36,0.51
rhex.csv,0.96,0.59,0.49,0.45,0.32,0.47,0.32,0.57,0.42,0.45,0.34,0.0,0.48,0.15,0.57
rocrail.csv,0.24,0.36,0.38,0.43,0.16,0.14,0.3,0.37,0.47,0.46,0.28,0.05,0.12,0.35,1.0
webdriver.csv,0.29,0.5,0.38,0.33,0.52,0.67,0.46,0.98,0.36,0.51,0.56,0.29,0.4,0.37,0.49
xined.csv,0.0,0.61,0.48,0.24,0.18,0.17,0.43,0.45,0.35,0.55,0.35,0.33,0.53,0.95,0.33
yield.csv,0.35,0.62,0.74,0.57,0.72,0.98,0.4,0.6,0.32,0.65,0.55,0.73,0.55,0.27,0.42
