,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.63,0.68,1.0,0.74,0.86,0.53,0.73,0.97,0.6,0.82,0.79,0.92,0.75,0.92,0.72,0.94
biodwh.csv,0.48,0.25,0.85,0.29,0.34,0.13,0.37,0.34,0.23,0.18,0.31,0.08,0.62,0.75,0.49,0.74
bloodycore.csv,0.99,0.33,0.46,0.6,0.34,0.1,0.1,0.11,0.07,0.9,0.4,0.38,0.2,0.08,0.13,0.35
blue-c.csv,0.75,0.56,0.92,0.43,0.62,0.8,0.43,0.78,0.77,0.42,0.81,0.92,0.68,0.5,0.79,0.82
etics.csv,0.49,0.25,0.85,0.29,0.38,0.23,0.3,0.39,0.43,0.36,0.31,0.31,0.4,0.67,0.56,0.56
flexpay.csv,0.06,0.38,0.0,0.29,0.76,0.43,0.53,0.47,0.4,0.56,0.36,0.54,0.25,0.33,0.28,0.59
flylegacy.csv,0.02,0.67,0.38,0.43,0.83,0.87,0.77,0.92,0.5,0.18,0.79,0.85,0.57,0.42,1.0,0.71
ftm.csv,0.68,0.3,0.38,0.33,0.59,0.5,0.17,0.18,0.27,0.39,0.3,0.85,0.25,0.08,0.69,0.53
gzigzag.csv,0.23,0.43,0.31,0.36,0.45,0.5,0.53,0.66,0.67,0.16,0.4,0.0,0.32,0.42,0.87,0.5
img-browse-sort.csv,0.27,0.48,0.46,0.41,0.59,0.57,0.37,0.57,0.57,0.14,0.63,0.77,0.52,0.5,0.52,0.79
jcache.csv,0.7,0.86,0.77,0.39,0.76,0.97,0.57,0.28,0.7,0.3,0.72,0.85,0.62,0.42,0.52,0.91
jguard.csv,0.17,0.63,0.62,0.81,0.72,0.2,0.77,0.88,0.47,0.97,0.66,0.85,0.68,0.33,0.92,0.5
ppcboot.csv,0.95,0.92,0.92,0.99,0.76,1.0,0.93,1.0,0.9,0.59,1.0,0.85,0.98,0.83,0.98,1.0
qdvdauthor.csv,0.99,0.32,0.77,0.5,0.52,0.33,0.63,0.37,0.3,0.9,0.72,0.31,0.8,0.42,0.8,0.79
reactos-mirror.csv,0.61,0.75,1.0,0.66,0.48,0.47,0.4,0.57,0.9,1.0,0.78,0.69,0.72,0.5,0.13,0.62
unbvision.csv,0.81,0.54,0.85,0.79,0.38,0.37,0.4,0.61,0.8,0.6,0.73,0.62,0.78,0.75,0.26,0.76
