,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.4,0.53,0.17,0.34,0.96
encog-java.csv,0.93,0.16,0.62,0.04,0.38
h2database.csv,0.41,0.93,0.2,0.13,0.1
jaql.csv,0.52,0.69,0.23,0.97,0.4
raven-monitoring.csv,0.56,0.51,0.93,0.42,0.39
