,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.58,0.53,0.0,0.69,0.39,0.23,0.57,0.47,0.43,0.67,0.71,0.63,0.48,0.86
awemud.csv,0.72,0.27,0.33,0.54,0.95,0.59,0.52,0.5,0.96,0.5,0.39,0.58,0.69,0.86
buddata-ebxml-registry.csv,0.96,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.94,1.0,0.97,1.0,0.93,1.0
cornerstone.csv,0.17,0.22,0.0,0.12,0.55,0.01,0.08,0.06,0.71,0.11,0.13,0.53,0.28,0.32
firebreath.csv,0.58,0.27,0.07,0.52,0.47,0.43,0.68,0.31,0.84,0.22,0.34,0.53,0.25,0.82
lsb.csv,0.71,0.73,0.93,0.67,0.7,0.64,0.32,0.25,0.57,0.67,0.74,0.84,0.22,1.0
maya-work-in-progress.csv,0.79,0.96,0.53,0.86,0.92,0.9,0.68,0.88,0.96,0.67,0.68,1.0,0.67,1.0
mia.csv,0.26,0.13,0.8,0.33,0.06,0.46,0.37,0.62,0.49,0.56,0.45,0.11,0.07,0.55
open-beos.csv,0.79,0.07,0.73,0.63,0.47,0.61,0.3,0.59,0.27,0.33,0.76,0.16,0.55,0.82
qgis.csv,0.68,0.24,0.67,0.6,0.47,0.58,0.52,0.47,0.76,0.89,0.47,0.79,0.54,0.73
rocrail.csv,0.63,0.11,0.8,0.45,0.42,0.27,0.43,0.31,0.51,0.22,0.34,0.47,0.66,0.86
rtb-team.csv,0.49,0.0,0.73,0.11,0.0,0.14,0.03,0.06,0.35,0.0,0.11,0.26,0.36,0.18
tradelink.csv,0.53,0.13,0.4,0.24,0.47,0.37,0.22,0.25,0.39,0.56,0.47,0.68,0.79,0.14
upp-mirror.csv,0.59,0.53,0.2,0.42,0.77,0.39,0.4,0.47,0.33,0.72,0.47,0.37,0.36,0.45
