,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.53,0.42,0.58,0.0,0.82,0.73,0.11,0.95,0.45,0.66,1.0,0.53
blue-c.csv,0.54,0.44,0.6,0.0,0.6,0.62,0.15,0.97,0.16,0.58,0.42,0.56
cities3d.csv,0.43,0.33,0.54,0.2,0.41,0.4,0.97,0.39,0.14,0.4,0.8,0.42
dynalloy.csv,0.62,1.0,0.53,0.18,0.56,0.57,0.09,0.64,0.21,0.64,0.5,0.57
firebird.csv,0.5,0.39,0.97,0.15,0.51,0.58,0.13,0.88,0.18,0.55,0.37,0.59
hydrogen.csv,0.88,0.36,0.65,0.75,0.47,0.83,0.29,1.0,1.0,0.43,0.5,0.88
nosleepsoftware.csv,0.67,0.0,0.61,1.0,0.2,0.38,0.15,0.21,0.5,0.5,0.5,0.53
openmalaria.csv,0.6,0.44,0.6,0.34,0.73,0.67,0.1,0.71,0.19,1.0,0.4,0.51
popeye-chess.csv,0.69,0.51,0.71,0.13,0.63,0.97,0.13,0.94,0.25,0.71,0.52,0.69
qgo.csv,1.0,0.24,0.61,0.69,0.88,0.82,0.12,0.73,0.53,0.75,0.38,0.75
xmoto.csv,0.61,0.38,0.62,0.31,0.68,0.79,0.15,0.87,0.31,0.74,0.41,1.0
yield.csv,0.64,0.37,0.58,0.29,1.0,0.65,0.09,0.76,0.2,0.49,0.4,0.55
