,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.61,0.71,0.65,1.0,0.56,0.56,0.65,0.37,0.45,0.54,0.05,0.64
blue-c.csv,0.59,0.59,0.59,1.1,0.54,0.43,0.46,0.05,0.78,0.57,0.7,0.58
cities3d.csv,0.98,0.78,0.74,0.82,0.89,0.89,0.19,0.93,0.9,0.8,0.81,0.76
dynalloy.csv,0.47,0.0,0.7,0.86,0.65,0.52,0.78,0.62,0.53,0.43,0.59,0.53
firebird.csv,0.65,0.66,0.04,0.89,0.71,0.5,0.57,0.54,0.59,0.66,0.91,0.59
hydrogen.csv,0.5,0.79,0.72,0.81,0.78,0.72,0.48,0.87,0.0,0.93,0.86,0.81
nosleepsoftware.csv,0.57,1.0,0.65,0.12,0.98,0.86,0.74,1.0,0.75,0.89,0.86,0.75
openmalaria.csv,0.55,0.62,0.59,0.55,0.48,0.45,0.67,0.52,0.58,0.02,0.91,0.62
popeye-chess.csv,0.42,0.53,0.56,0.92,0.59,0.06,0.52,0.47,0.44,0.51,0.55,0.53
qgo.csv,0.03,0.88,0.59,0.45,0.76,0.6,0.59,0.74,0.44,0.79,0.76,0.59
xmoto.csv,0.5,0.68,0.57,0.73,0.68,0.4,0.47,0.57,0.43,0.54,0.71,0.03
yield.csv,0.46,0.75,0.65,0.65,0.05,0.5,0.75,0.44,0.53,0.66,0.89,0.56
