,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.83,0.89,0.73,1.0,0.91,0.52,0.82,0.95,1.0,0.33,0.26,0.67,1.0,0.96,0.77,0.96,1.0,1.0,0.85
co-ode-owl-plugins.csv,0.71,0.49,0.64,0.67,0.83,0.84,0.62,0.62,0.24,0.72,0.94,0.8,0.72,0.85,0.84,0.52,0.47,0.55,0.98
exl.csv,0.29,0.54,0.09,0.67,0.39,0.68,0.62,0.28,0.43,0.33,0.65,0.73,0.17,0.35,0.35,0.48,0.53,0.65,0.83
firebreath.csv,0.54,0.43,1.0,0.75,0.7,0.77,0.62,0.65,0.48,0.39,0.44,0.6,0.78,0.58,0.3,0.8,0.13,0.35,0.61
irplus.csv,0.42,0.43,0.09,0.75,0.41,0.61,0.68,0.38,0.62,0.22,0.35,0.33,0.56,0.96,0.19,0.6,0.67,0.28,0.39
jasperreports.csv,0.54,0.49,0.45,1.0,0.7,0.43,0.59,0.88,0.95,0.33,0.2,0.2,0.28,0.96,0.15,0.44,0.87,0.28,0.54
javaprofiler.csv,0.75,0.83,0.64,1.0,0.98,0.82,0.85,0.87,0.38,0.83,0.67,0.8,0.94,1.0,0.2,0.6,1.0,0.77,1.0
konversation.csv,0.17,0.31,0.36,0.83,0.41,0.36,0.41,0.45,0.24,0.44,0.07,0.73,0.78,1.0,0.14,0.56,0.47,0.31,0.41
lazarus-ccr.csv,0.79,0.49,1.0,0.25,0.8,0.57,0.65,0.62,0.43,0.61,0.17,0.67,0.78,0.35,0.86,0.72,0.47,0.48,0.71
linuxsh.csv,0.67,0.43,0.64,0.08,0.17,0.7,0.38,0.18,0.0,0.72,0.96,0.67,0.06,0.04,0.77,0.24,0.07,0.13,0.56
migen.csv,0.21,0.31,0.73,0.58,0.59,0.36,0.68,0.37,0.05,0.67,0.76,0.67,0.11,0.92,0.08,0.32,0.0,0.6,0.9
moviesandbox.csv,0.62,0.83,0.55,0.92,0.63,0.7,0.65,0.8,0.19,0.72,0.5,0.73,0.72,0.62,0.24,0.44,0.27,0.61,0.9
mvnforum.csv,0.0,0.26,0.73,0.17,0.48,0.64,0.32,0.37,0.1,0.56,0.61,0.2,0.56,0.08,0.48,0.12,0.07,0.51,0.41
nebuladevice.csv,0.42,0.51,0.0,0.25,0.13,0.09,0.41,0.47,0.71,0.72,0.09,0.53,0.17,0.31,0.07,0.16,0.67,0.65,0.0
ontomorphtab.csv,0.46,0.71,0.45,0.75,0.74,0.66,0.68,0.53,0.52,0.22,0.43,0.87,0.39,0.96,0.2,0.48,0.67,0.31,0.76
opengs.csv,0.17,0.23,0.64,0.75,0.63,0.7,0.32,0.57,0.14,0.17,0.78,0.6,0.61,0.58,0.34,0.24,0.47,0.43,0.83
scite-ru.csv,0.92,0.83,0.45,0.58,0.8,0.86,0.79,0.57,0.48,0.83,0.85,1.0,0.89,1.0,0.95,0.8,0.67,0.92,0.98
tokratan.csv,0.21,0.34,0.55,0.58,0.57,0.64,0.56,0.27,0.1,0.06,0.31,0.6,0.72,0.92,0.12,0.4,0.6,0.65,0.61
xuggle.csv,0.71,0.57,0.64,0.58,0.76,0.68,0.56,0.57,0.62,0.22,0.8,0.67,0.83,0.92,0.69,0.72,0.73,0.56,0.32
