,sabbu.csv,vxl.csv,kdenlive.csv,zact.csv,optalgtoolkit.csv,tokratan.csv,boost-sandbox.csv,foursquared.csv,jasperreports.csv
boost-sandbox.csv,0.49,0.6,0.46,0.51,0.38,0.46,0.55,0.28,0.58
foursquared.csv,0.75,0.0,0.71,0.5,0.0,0.93,0.8,0.54,0.89
jasperreports.csv,0.65,0.48,0.46,0.5,0.5,0.94,0.46,0.42,0.71
kdenlive.csv,0.39,0.45,0.4,0.64,0.27,0.54,0.4,0.33,0.48
optalgtoolkit.csv,0.56,0.5,0.47,0.69,0.52,0.71,0.73,0.35,0.53
sabbu.csv,0.45,0.48,0.42,0.49,0.8,0.51,0.48,0.32,0.63
tokratan.csv,0.44,0.57,0.53,0.48,0.36,0.7,0.6,0.8,0.53
vxl.csv,0.46,0.61,0.37,0.37,0.41,0.53,0.45,0.39,0.5
zact.csv,0.77,0.83,0.69,0.76,0.0,0.68,0.95,0.49,0.8
