,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.66,0.26,0.33,0.29,0.59,0.5,0.79,0.51,0.32,0.22,0.93,0.26,0.12,0.35,0.23,0.37,0.47,0.27
fbmanager.csv,0.5,0.15,0.24,0.23,0.18,0.33,0.26,0.28,0.32,0.26,0.22,0.16,0.25,0.34,0.2,0.09,0.08,0.18
freenet.csv,0.74,0.77,0.86,0.87,0.59,0.67,0.39,0.67,0.99,0.96,0.74,0.82,0.88,0.47,0.65,0.86,0.65,0.63
geogebra.csv,0.29,0.74,0.24,0.65,0.59,0.67,0.69,0.75,0.34,0.3,0.15,0.84,1.0,0.81,0.2,0.35,0.39,0.25
google-caja.csv,0.88,0.26,0.62,0.32,0.53,0.33,0.79,0.54,0.79,0.44,0.26,0.53,0.12,0.6,0.53,0.58,0.72,0.59
hibernate.csv,0.63,0.22,0.43,0.19,0.59,0.17,0.24,0.61,0.9,0.26,0.26,0.5,0.12,0.3,0.45,0.46,0.3,0.39
illumination.csv,0.85,0.3,0.71,1.0,0.88,1.0,0.04,0.57,0.0,0.93,0.26,0.68,0.0,0.0,0.95,0.15,0.0,0.0
kindb.csv,0.8,0.11,0.14,0.06,0.29,0.0,0.55,0.37,0.68,0.37,0.15,0.66,0.12,0.72,0.59,0.15,0.52,0.28
officefloor.csv,0.43,0.32,0.1,0.06,0.29,0.0,0.16,0.23,0.27,0.15,0.04,0.24,0.0,0.02,0.23,0.03,0.25,0.19
paintown.csv,0.89,0.21,0.52,0.77,0.94,0.67,0.55,0.71,0.9,0.96,1.0,0.24,0.5,0.78,0.76,0.42,0.82,0.93
poormans.csv,0.21,0.04,0.33,0.1,0.18,0.17,0.2,0.08,0.16,0.26,0.11,0.11,0.0,0.0,0.16,0.31,0.06,0.14
qlc.csv,0.65,0.77,0.14,0.23,0.18,0.67,0.54,0.44,0.25,0.22,0.07,0.58,0.0,0.53,0.22,0.63,0.38,0.1
repositorium.csv,0.25,0.56,0.33,0.58,0.29,0.83,0.62,0.3,0.13,0.04,0.33,0.37,0.0,0.33,0.15,0.18,0.07,0.03
sevenupdate.csv,1.0,0.89,0.76,0.58,1.0,0.17,0.86,0.87,0.99,0.48,0.89,1.0,0.94,1.0,1.0,0.65,0.95,0.9
sqlpower-library.csv,0.46,0.92,0.76,0.61,0.18,1.0,0.65,0.63,0.71,0.96,0.26,0.79,0.06,0.24,0.78,0.91,0.55,0.34
triplea.csv,0.93,0.53,0.33,0.45,0.76,0.67,0.92,0.5,0.75,0.7,0.81,0.47,0.19,0.7,0.93,0.42,0.66,0.8
yarp0.csv,0.62,0.42,0.57,0.81,0.24,1.0,0.8,0.63,0.67,0.56,0.78,0.24,0.56,0.97,0.66,0.68,0.59,0.79
