,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.01,0.88,0.28,0.27,0.76,0.93,0.55,0.2,0.03,0.53,0.52,0.99,0.68,0.06,0.41,0.27,0.53,0.6,0.54,0.4
extprosys.csv,0.01,0.88,0.46,0.26,0.75,0.91,0.64,0.17,0.05,0.53,0.73,0.99,0.69,0.03,0.48,0.32,0.51,0.55,0.49,0.31
freewrl.csv,0.01,0.88,0.29,0.31,0.81,0.92,0.45,0.23,0.04,0.76,0.67,0.99,0.71,0.08,0.4,0.38,0.48,0.6,0.58,0.5
glas.csv,0.02,0.88,0.41,0.25,0.83,0.93,0.33,0.24,0.05,0.53,0.54,0.99,0.76,0.0,0.57,0.27,0.59,0.53,0.56,0.4
ibatisdb.csv,0.0,0.85,0.3,0.32,0.77,0.92,0.42,0.22,0.06,0.5,0.52,1.0,0.68,0.07,0.68,0.6,1.0,1.0,0.92,0.5
japano.csv,0.0,0.88,0.32,0.29,0.77,0.96,0.35,0.18,0.02,0.52,0.52,1.0,0.68,0.05,0.39,0.25,0.5,0.59,0.49,0.44
lockss.csv,0.03,1.0,0.47,0.3,0.76,0.93,0.58,0.33,0.06,0.0,0.86,1.0,0.82,0.11,0.0,0.35,0.5,1.0,0.75,0.38
officefloor.csv,0.02,1.0,0.27,0.27,1.0,0.92,0.41,0.17,0.06,0.0,0.63,0.99,0.77,0.0,0.67,0.32,0.47,0.5,1.0,0.31
opennms.csv,0.02,0.8,0.67,0.51,0.78,1.0,0.45,0.24,0.04,0.67,1.0,1.0,0.76,0.04,0.6,0.31,0.0,0.67,0.3,0.0
papertoolkit.csv,0.0,1.0,0.3,0.29,0.71,0.93,0.55,0.17,0.02,0.43,0.71,1.0,1.0,0.21,0.3,0.36,0.54,0.67,0.5,0.25
primefaces.csv,0.01,0.86,0.28,0.27,0.79,0.93,0.36,0.18,0.03,0.6,0.61,0.99,0.69,0.03,0.4,0.3,0.5,0.84,0.58,0.42
rohxel.csv,0.02,0.96,0.29,0.23,0.86,0.96,0.46,0.33,0.03,0.57,0.82,1.0,0.72,0.0,0.54,0.12,0.33,0.58,0.5,0.0
roller.csv,0.01,0.88,0.28,0.3,0.75,0.93,0.48,0.24,0.04,0.67,0.79,0.99,0.7,0.07,0.53,0.32,0.38,0.6,0.53,0.57
sevenupdate.csv,0.01,1.0,0.28,0.23,0.78,0.93,0.38,0.16,0.03,0.53,0.6,0.99,0.72,0.07,0.4,0.26,0.55,0.59,0.54,0.38
soar.csv,0.02,0.84,0.28,0.24,0.82,0.92,0.32,0.22,0.03,0.41,0.57,0.99,0.69,0.05,0.4,0.28,0.79,0.57,0.49,0.34
web-cat.csv,0.0,0.94,0.25,0.23,0.72,0.93,0.35,0.19,0.03,0.53,0.67,0.99,0.78,0.04,0.38,0.33,0.55,0.58,0.56,0.79
xcf.csv,0.0,0.92,0.33,0.3,0.79,0.91,0.44,0.24,0.03,0.64,0.69,1.0,0.77,0.09,0.52,0.33,0.54,0.78,0.79,0.41
xfce.csv,0.0,0.85,0.29,0.32,0.82,0.94,0.44,0.22,0.03,0.59,0.7,1.0,0.79,0.1,0.42,0.18,0.44,0.56,0.59,0.37
