,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.4,0.65,0.42,0.14,0.5,0.09,0.47,0.09,0.26,0.24,0.23,0.64,0.96,0.56
doomlegacy.csv,0.48,0.39,0.55,0.57,0.94,0.55,0.72,0.24,0.9,1.0,0.62,0.68,0.7,0.73
empserver.csv,0.68,0.43,0.45,0.57,1.0,0.27,0.64,0.67,0.5,0.41,0.27,0.36,0.65,0.21
fritzing.csv,0.62,0.96,0.39,0.14,0.33,0.18,0.6,0.44,0.46,0.3,0.38,0.36,0.48,0.26
ifmo-game-1.csv,0.1,0.06,0.04,0.86,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.03,0.0
jparsec.csv,0.74,0.21,0.51,0.57,0.53,0.64,0.68,0.96,0.49,0.61,0.5,0.59,0.53,0.61
lmms.csv,0.2,0.12,0.98,0.71,0.89,1.0,0.83,0.2,0.81,0.78,0.65,0.73,0.75,0.72
lufa-lib.csv,0.22,0.46,0.43,0.29,0.19,0.36,0.4,0.56,0.98,0.35,0.58,0.5,0.39,0.45
pgui.csv,0.36,0.67,0.49,0.14,0.33,0.27,0.96,0.22,0.65,0.38,0.5,0.36,0.39,0.38
pi-qmc.csv,0.54,0.54,0.45,0.43,0.67,0.18,0.6,0.44,0.72,0.54,0.5,1.0,0.51,0.42
repositorium.csv,0.84,0.58,0.28,0.14,1.0,0.91,0.38,0.51,0.78,0.29,0.04,0.09,0.27,0.98
superwaba.csv,0.96,0.62,0.49,0.57,0.17,0.18,0.4,0.49,0.13,0.2,0.23,0.23,0.49,0.2
xapian.csv,0.52,0.44,0.33,0.71,0.06,0.09,0.32,0.22,0.05,0.35,0.88,0.45,0.69,0.15
zemljanka.csv,1.0,0.99,0.94,1.0,0.94,1.0,1.0,1.0,0.98,0.96,1.0,1.0,1.0,1.0
