,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.31,0.25,0.45,0.28,0.56,0.24,0.77,0.35,0.44,0.49,0.08,0.59
bscwweasel.csv,0.06,0.17,0.41,0.43,0.56,0.32,0.49,0.34,0.37,0.46,0.1,0.32
capcode.csv,0.04,0.24,0.38,0.25,0.44,0.35,0.27,0.31,0.47,0.5,0.07,0.38
emite.csv,0.68,0.14,0.2,0.12,0.22,0.05,0.21,0.14,0.2,0.24,0.0,0.61
lamp.csv,0.21,0.34,0.41,0.27,0.5,0.23,0.68,0.45,0.41,0.54,0.1,0.35
mecat.csv,0.0,0.12,0.13,0.07,0.27,0.15,0.0,0.13,0.0,0.43,0.46,0.0
nodal.csv,0.02,0.16,0.44,0.22,0.27,0.32,0.05,0.21,0.49,0.55,0.1,0.16
pydev.csv,0.39,0.27,0.42,0.24,0.68,0.27,0.43,0.36,0.34,0.6,0.17,0.21
retromenu.csv,0.53,0.33,0.43,0.24,0.71,0.33,0.38,0.2,0.37,0.47,0.0,0.33
smbopensoft.csv,0.81,0.18,0.35,0.18,0.43,0.27,0.75,0.22,0.5,0.33,0.06,0.56
stuproa-cims.csv,0.49,0.22,0.34,0.26,0.55,0.22,0.07,0.53,0.28,0.5,0.14,0.4
thout.csv,0.27,0.18,0.51,0.26,0.37,0.27,0.85,0.38,0.44,0.42,0.04,0.53
