,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.21,0.86,0.55,0.75,0.9,0.67,0.72,0.62,0.91,0.69,0.33,0.9
bscwweasel.csv,0.03,0.14,0.48,0.65,0.57,0.42,0.38,0.47,0.35,0.53,0.33,0.26
capcode.csv,0.02,0.86,1.0,0.9,0.48,0.58,0.17,0.22,0.48,0.92,0.33,0.35
emite.csv,0.92,0.21,0.2,0.15,0.19,0.08,0.12,0.09,0.13,0.22,0.0,0.65
lamp.csv,0.13,0.64,0.36,0.7,0.9,0.67,0.64,0.53,0.7,0.69,1.0,0.29
mecat.csv,0.0,0.07,0.07,0.05,0.19,0.17,0.0,0.07,0.0,0.31,1.0,0.0
nodal.csv,0.01,0.21,0.52,0.35,0.38,0.33,0.03,0.16,0.52,0.67,0.33,0.1
pydev.csv,0.3,0.43,0.43,0.45,0.95,0.58,0.3,0.73,0.48,0.69,1.0,0.16
retromenu.csv,0.41,0.5,0.41,0.3,0.86,0.75,0.25,0.24,0.35,0.39,0.0,0.23
smbopensoft.csv,0.81,1.0,0.89,0.55,0.76,0.5,0.74,0.2,0.74,0.47,0.33,0.77
stuproa-cims.csv,0.41,0.14,0.5,0.45,0.86,0.33,0.04,0.55,0.35,0.75,1.0,0.29
thout.csv,0.18,1.0,0.55,0.3,0.48,1.0,0.99,0.84,1.0,0.42,0.33,0.81
