,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.43,0.46,0.79,0.97,0.55,0.1,0.38,0.24,0.73,0.53,0.61,0.32,0.33,0.26,0.44,0.56,0.52
dynalloy.csv,0.63,0.8,0.25,0.46,0.53,1.0,0.57,0.88,0.47,0.73,0.58,0.8,0.82,0.7,0.25,0.53,0.67
enzo.csv,0.68,0.54,0.59,0.9,0.83,0.12,0.81,0.44,0.82,0.65,0.64,0.28,0.91,0.74,0.76,0.62,0.56
hydrogen.csv,0.63,1.0,1.0,1.0,1.0,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.45
jcae.csv,0.04,0.17,0.18,0.22,0.23,0.15,0.03,0.06,0.0,0.13,0.04,0.0,0.0,0.26,0.35,0.12,0.0
kmatplot.csv,0.06,0.25,0.35,0.57,0.87,0.65,0.06,0.15,0.06,0.03,0.93,0.0,0.55,0.35,0.71,0.06,0.14
lphant.csv,0.74,0.26,0.81,0.96,0.7,0.02,0.66,0.61,0.63,0.51,0.79,0.2,0.24,0.59,0.54,0.31,0.41
natpad.csv,0.48,0.4,0.65,1.0,0.55,0.25,0.38,0.34,0.95,0.66,1.0,0.84,0.67,0.63,0.31,0.69,0.31
nosleepsoftware.csv,0.1,0.0,0.04,0.03,0.17,0.0,0.06,0.0,0.02,0.05,0.04,0.04,0.06,0.17,0.19,0.0,0.28
ossbuild.csv,0.17,0.66,0.46,0.1,0.45,0.2,0.53,0.54,0.21,0.55,0.17,0.12,0.61,0.7,0.42,0.16,0.19
quarkplayer.csv,0.17,0.35,0.0,0.34,0.21,0.68,0.15,0.3,0.59,0.29,0.42,0.48,0.21,0.11,0.06,0.09,0.41
quickfast.csv,0.77,0.27,0.48,0.76,0.47,0.05,0.15,0.54,0.68,0.53,0.19,1.0,0.85,0.94,0.55,0.25,0.8
rezilla.csv,0.84,0.5,0.55,0.47,0.83,0.2,0.43,0.32,0.37,0.44,0.78,0.04,0.48,0.57,0.92,0.38,0.36
rhex.csv,0.26,0.22,0.32,0.35,0.3,0.02,0.22,0.15,0.0,0.25,0.25,0.08,0.0,0.69,0.32,0.25,0.02
rocrail.csv,0.16,0.28,0.35,0.52,0.17,0.02,0.03,0.15,0.44,0.3,0.41,0.12,0.12,0.02,0.21,0.03,0.3
virtuoso.csv,0.8,0.71,0.99,0.96,1.0,0.98,0.94,0.89,0.0,0.87,0.11,1.0,0.94,0.89,0.96,0.03,0.0
yield.csv,0.65,0.58,0.88,1.0,0.57,0.12,0.18,0.7,0.75,0.63,0.81,0.56,0.7,0.44,0.64,0.72,0.66
