,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,1378.5,99.0,16922.0,1779.0,96.5,197.5,380.5,184.0,2410.0,2145.0,99.0,808.5,2274.5,194.0,193.0,285.5,730.5,91.5,97.5,97.5
blogentis.csv,1175.5,99.0,198.0,730.0,98.5,385.5,95.5,184.0,1832.5,2046.0,99.0,442.5,2524.0,95.5,292.0,165.0,2302.5,960.5,99.0,455.0
carabiner.csv,678.0,99.0,198.0,1889.5,98.5,656.0,294.0,184.0,3741.0,1821.5,99.0,1532.5,2936.5,193.0,292.0,188.0,291.5,960.5,99.0,96.5
continuum-ide.csv,548.0,99.0,99.0,181.0,179.0,185.0,95.5,184.0,1033.5,392.5,97.5,169.0,781.0,326.0,193.0,311.0,1014.5,1595.5,98.5,127.0
emulemorph.csv,0.0,80.5,2293.0,266.5,42.5,130.0,195.0,0.0,94.0,87.5,85.5,97.5,710.5,152.0,95.5,192.5,346.0,284.5,0.0,172.5
gtad.csv,93.5,99.0,7615.5,324.0,46.5,98.5,292.0,73.5,1181.0,1092.5,188.0,178.0,1224.5,92.5,95.5,285.5,433.5,580.0,98.5,272.5
htmlunit.csv,93.5,99.0,8584.5,731.0,96.5,98.5,194.5,89.5,1388.5,1726.0,98.5,466.5,2177.5,92.5,95.5,285.5,289.5,91.5,96.5,97.5
jaxen.csv,678.0,99.0,198.0,718.0,98.5,98.5,294.0,88.5,1248.5,2716.0,99.0,459.5,2855.0,190.0,292.0,191.0,487.5,771.5,99.0,293.0
jsr308-langtools.csv,678.0,383.0,0.0,0.0,98.5,197.5,294.0,97.5,3043.0,2892.0,0.0,1454.0,0.0,95.5,193.0,285.5,487.5,862.0,98.5,196.5
jvcl.csv,93.5,99.0,99.0,805.5,46.5,433.0,294.0,97.5,2544.5,825.0,285.5,550.0,1658.0,73.5,95.5,158.0,192.0,424.5,99.0,96.5
kaffeine.csv,383.0,92.5,7685.5,1788.5,98.5,197.5,193.0,184.0,2408.0,1735.5,99.0,896.0,3039.0,291.5,193.0,285.5,291.5,378.0,99.0,181.0
m-m-m.csv,93.5,574.0,99.0,1601.0,88.5,197.5,294.0,97.5,2974.5,2752.5,97.5,1454.0,1462.5,291.5,193.0,285.5,389.0,278.5,99.0,196.5
motu.csv,93.5,99.0,198.0,1218.5,96.5,580.5,294.0,97.5,2121.0,274.5,99.0,1454.0,2326.0,194.0,315.0,354.0,388.0,25.5,99.0,97.5
nh3d.csv,678.0,99.0,99.0,0.0,98.5,197.5,294.0,97.5,4002.5,2892.0,284.5,1454.0,91.0,92.5,292.0,285.5,487.5,960.5,99.0,196.5
sarasvati.csv,869.5,93.5,8910.0,1170.5,84.5,197.5,492.0,184.0,1726.5,1246.5,97.5,1352.5,869.5,191.0,91.5,447.5,95.5,269.5,98.5,97.5
stemkit.csv,719.0,88.5,1428.0,1611.0,98.5,2470.0,360.0,97.5,1477.5,658.5,99.0,178.5,1700.5,92.5,95.5,93.5,193.0,91.5,98.5,293.0
taokgame.csv,287.5,78.5,0.0,1239.0,42.5,372.5,194.5,88.5,106.0,1116.0,363.0,496.0,1551.5,88.5,153.0,74.5,389.0,91.5,99.0,97.5
wgs-assembler.csv,93.5,285.5,99.0,1505.5,98.5,98.5,292.0,69.5,673.0,2591.0,97.5,907.0,1781.0,92.5,95.5,285.5,388.0,184.0,99.0,97.5
zabbix.csv,582.5,99.0,1858.0,1297.5,98.5,197.5,95.5,183.0,1586.5,968.5,99.0,725.0,2073.0,92.5,88.5,285.5,487.5,91.5,98.5,196.5
