,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.39,0.4,0.89,0.18,0.22,0.15,0.62,0.51,0.52,0.2,0.81,0.82,0.51,0.44,0.64,0.24
customsagetv.csv,0.52,0.65,0.0,0.57,0.29,0.1,0.62,0.75,0.24,0.39,0.9,0.86,0.58,0.5,0.63,0.9
fluidium.csv,0.67,0.5,0.0,0.13,0.0,0.18,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.52,0.5,0.6
guineu.csv,0.56,0.38,0.0,0.14,0.3,0.12,0.87,0.41,0.14,0.14,0.88,0.77,0.53,0.42,0.59,0.96
inkscape.csv,0.28,0.48,0.79,0.17,0.33,0.26,0.8,0.41,0.21,0.3,0.8,0.76,0.51,0.42,0.64,0.56
mpqc.csv,0.25,0.18,0.75,0.0,0.12,0.27,0.36,0.38,0.06,0.17,0.93,0.61,0.29,0.39,0.62,0.45
nsis.csv,0.3,0.34,0.86,0.11,0.15,0.23,0.53,0.32,0.19,0.24,0.98,0.83,0.54,0.29,0.64,0.73
octave.csv,0.36,0.4,1.0,0.16,0.39,0.14,0.83,0.42,0.17,0.25,0.82,0.74,0.35,0.39,0.66,0.07
owfs.csv,0.29,0.41,0.79,0.27,0.22,0.14,0.58,0.43,0.35,0.24,0.92,0.78,0.61,0.39,0.65,0.54
owlib.csv,0.36,0.6,0.8,0.22,0.22,0.1,0.62,0.56,0.31,0.29,0.91,0.77,0.65,0.55,0.86,0.54
pamguard.csv,0.33,0.43,0.9,0.24,0.26,0.16,0.62,0.45,0.35,0.26,0.96,0.8,0.5,0.67,0.75,0.44
prelude.csv,0.31,0.4,0.95,0.2,0.18,0.14,0.61,0.45,0.22,0.26,0.89,0.83,0.51,0.45,0.64,0.58
robocode.csv,0.4,0.47,0.0,0.4,0.23,0.13,0.69,0.69,0.21,0.38,0.91,0.81,0.51,0.48,0.63,0.57
uwom-server.csv,0.32,0.36,0.0,0.14,0.25,0.12,0.72,0.35,0.16,0.33,0.94,0.8,0.36,0.44,0.57,0.65
zengine.csv,0.31,0.39,0.86,0.17,0.19,0.15,0.58,0.44,0.18,0.26,0.92,1.0,0.51,0.32,0.62,0.57
zildo.csv,0.43,0.44,0.96,0.17,0.27,0.12,0.63,0.73,0.33,0.29,0.86,0.91,0.75,0.43,0.65,0.79
