,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.17,0.0,0.15,0.25,0.31,0.16,0.0,0.37,0.1,0.16,0.16
gbif-providertoolkit.csv,0.26,0.1,0.0,0.03,0.0,0.1,0.09,0.0,0.2,0.09,0.27
geochat.csv,0.34,0.21,0.21,0.35,0.84,0.79,0.78,0.4,0.0,0.33,0.0
heekscad.csv,0.0,0.27,0.24,0.57,0.25,0.45,0.04,0.21,0.0,0.4,0.31
igarden.csv,0.15,0.27,0.18,0.0,0.16,0.41,0.13,0.4,0.1,0.38,0.3
jstock.csv,0.0,0.0,0.03,0.0,0.06,0.01,0.09,0.0,0.1,0.1,0.19
levent.csv,0.11,0.19,0.08,0.28,0.37,0.37,0.0,0.33,0.5,0.34,0.27
piccolo2d.csv,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03
pnotepad.csv,0.7,0.71,0.76,0.83,0.72,0.56,0.57,0.63,0.0,0.65,0.62
trinitycore.csv,0.13,0.48,0.17,0.32,0.63,0.5,0.04,0.6,0.2,0.01,0.4
xcsoar.csv,0.19,0.19,0.0,0.31,0.49,0.51,0.22,0.3,0.1,0.41,0.24
