,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.58,0.0,0.53,0.0,0.8,0.51,0.48,0.71,0.32,0.0,0.03,0.62,0.56,0.0,0.75,0.06
betoffice.csv,0.42,0.84,0.42,0.5,0.6,0.25,0.39,0.04,0.28,0.5,0.51,0.88,0.47,0.4,0.38,0.61
bnetd.csv,0.75,0.42,0.34,0.72,0.1,0.85,0.61,0.56,0.67,1.0,0.0,0.88,0.87,0.8,0.51,0.67
elvishrayrenderer.csv,0.58,0.26,0.16,0.54,0.0,0.79,0.35,0.36,0.6,0.38,0.29,0.75,0.58,0.53,0.43,0.0
emisview.csv,0.08,0.0,0.03,0.09,0.0,0.0,0.0,0.04,0.07,0.0,0.06,0.0,0.2,0.33,0.16,0.06
findbugs.csv,0.58,0.74,0.99,0.35,1.0,0.25,0.48,0.53,0.37,0.5,0.97,0.12,0.0,0.2,0.71,0.67
hazelcast.csv,0.83,0.63,0.38,0.7,0.0,0.91,0.83,0.8,0.86,0.5,0.49,0.88,0.89,0.8,0.55,0.72
jitterbit.csv,0.25,0.84,0.88,0.37,0.2,0.51,0.09,0.18,0.0,0.62,0.11,0.12,0.22,0.2,0.1,0.5
jppf-project.csv,1.0,1.0,0.19,0.98,1.0,0.98,0.96,0.89,0.96,0.75,0.97,0.0,0.93,0.8,1.0,0.89
megasquirtavr.csv,0.92,0.53,0.0,0.74,0.4,0.87,0.61,0.49,0.69,0.38,0.23,1.0,0.71,0.73,0.84,0.61
stajistics.csv,0.5,0.32,0.78,0.37,0.2,0.28,0.43,0.18,0.4,0.75,0.17,0.88,0.38,0.4,0.0,0.44
trackit.csv,0.75,0.0,0.04,0.57,0.5,0.28,0.0,0.16,0.67,0.38,0.4,0.5,0.47,0.0,0.14,0.61
tweetsharp.csv,0.58,0.74,0.71,0.46,0.8,0.06,0.3,0.49,0.2,0.62,0.69,0.12,0.29,0.0,0.48,0.17
wxlua.csv,1.0,1.0,0.75,0.93,1.0,0.77,0.96,1.0,0.97,0.0,0.89,1.0,0.96,0.93,0.99,0.89
x4x.csv,0.0,0.95,0.07,0.83,0.9,0.87,0.91,0.82,0.7,0.12,0.94,0.88,0.87,0.87,0.72,0.89
xharbour.csv,1.0,0.0,0.62,0.57,0.7,0.4,0.83,0.78,0.72,0.5,0.94,0.38,0.64,0.87,0.86,0.72
