,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.89,0.83,0.93,0.93,0.9,0.67,0.81,0.6,0.53,0.95,0.89,0.93,0.48,0.71,0.89
calcubetimer.csv,0.31,0.39,0.26,0.42,0.35,0.5,0.32,0.43,0.32,0.39,0.34,0.36,0.38,0.33,0.43
chaosrts.csv,0.27,0.38,0.26,0.37,0.33,0.49,0.33,0.41,0.27,0.38,0.37,0.29,0.4,0.26,0.43
emono.csv,0.44,0.62,0.95,0.68,0.41,0.5,0.82,0.57,0.35,0.71,0.57,0.43,0.56,0.48,0.53
freelords.csv,0.42,0.44,0.97,0.43,0.48,0.0,0.39,0.73,0.73,0.37,0.4,0.43,0.47,0.43,0.53
jmonkeyengine.csv,0.75,0.88,0.25,0.92,0.76,0.95,0.92,0.86,0.9,0.96,0.8,0.5,0.81,0.88,0.88
jython.csv,0.5,0.64,0.95,0.58,0.66,0.97,0.36,0.59,0.71,0.42,0.43,0.48,0.51,0.47,0.64
mclient-mume.csv,0.89,0.5,0.75,0.61,0.75,0.0,0.42,0.89,0.45,0.4,0.71,0.55,0.58,0.73,0.56
papertoolkit.csv,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0
primefaces.csv,0.61,0.54,0.29,0.49,0.44,0.76,0.45,0.71,0.52,0.38,0.47,0.44,0.59,0.32,0.49
st-filteredstatistics.csv,0.35,0.46,0.26,0.49,0.36,0.3,0.31,0.42,0.33,0.41,0.34,0.48,0.37,0.29,0.51
toped.csv,0.7,0.47,0.97,0.93,0.62,0.58,0.33,0.68,0.48,0.47,0.91,0.58,0.69,0.3,0.47
triplea.csv,0.42,0.58,0.24,0.55,0.44,0.56,0.35,0.41,0.44,0.53,0.58,0.89,0.48,0.38,0.63
web-cat.csv,0.75,0.57,0.86,0.97,0.75,0.0,0.42,0.92,0.75,0.39,0.53,0.9,0.91,0.58,0.66
