,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.75,0.87,0.64,0.89,0.79,0.03,0.71,0.73,0.54,1.23,1.01,0.83,0.72,0.67,0.96
calcubetimer.csv,1.0,1.0,1.0,0.7,0.99,1.0,1.0,0.0,0.85,1.0,0.92,0.76,0.95,0.79,1.0
chaosrts.csv,0.82,0.89,0.99,0.7,0.74,0.9,1.0,0.6,0.78,1.0,0.87,0.61,0.04,0.76,0.98
emono.csv,0.72,0.85,0.41,0.76,0.72,0.96,0.8,0.46,0.97,0.6,1.07,0.71,0.91,0.78,0.04
freelords.csv,0.75,0.37,0.7,0.04,0.83,1.0,0.72,0.79,0.68,1.04,0.53,0.79,0.67,0.58,0.77
jmonkeyengine.csv,0.94,0.96,1.02,0.88,0.06,0.65,0.87,0.88,0.81,0.86,1.0,0.98,0.85,0.86,0.94
jython.csv,0.76,0.84,0.0,0.82,0.52,0.78,0.62,0.82,0.79,1.04,0.85,0.93,0.92,0.8,0.58
mclient-mume.csv,0.86,0.07,0.82,0.63,1.0,1.0,0.64,0.84,0.68,0.52,0.42,0.79,0.8,0.8,0.68
papertoolkit.csv,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,1.0,1.0,0.95,1.0
primefaces.csv,0.74,1.01,1.07,0.63,0.63,0.84,0.85,1.01,0.94,0.19,0.58,0.03,0.53,0.69,0.98
st-filteredstatistics.csv,0.8,0.8,1.0,0.52,0.68,0.6,0.89,0.64,0.0,1.07,0.69,0.85,0.68,0.82,0.76
toped.csv,0.78,0.41,0.3,0.85,0.48,0.6,0.0,0.81,0.66,0.28,0.69,0.75,0.79,0.74,0.7
triplea.csv,0.03,0.61,0.98,0.77,0.66,0.76,0.7,0.62,0.49,1.09,0.52,0.73,0.68,0.72,0.74
web-cat.csv,0.74,0.53,0.82,0.96,0.68,0.97,0.65,0.82,0.76,1.02,0.91,0.78,0.83,0.0,0.7
