,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.62,0.74,0.51,0.66,0.55,0.58,0.45,0.82,0.47,0.44,0.56,0.8
gdis.csv,0.54,0.35,0.42,0.57,0.32,0.38,0.38,0.42,0.35,0.41,0.49,0.36
kml.csv,0.57,0.41,0.53,0.69,0.46,0.86,0.48,0.54,0.44,0.37,0.52,0.42
ppcboot.csv,0.53,0.39,0.5,0.75,0.65,0.61,0.63,0.52,0.5,0.48,0.57,0.46
repositorium.csv,0.71,0.46,0.59,0.51,0.63,0.89,0.96,0.58,0.34,0.52,0.68,0.36
rsyslog.csv,0.56,0.44,0.49,0.7,0.71,0.9,0.47,0.77,0.44,0.33,0.59,0.33
simplewebservices.csv,0.55,0.61,0.61,0.52,0.37,0.83,0.96,0.9,0.32,0.91,0.61,0.58
ultimairis.csv,0.69,0.39,0.51,0.98,0.93,0.64,0.78,0.42,0.87,0.37,0.56,0.46
wow-qrsk.csv,0.62,0.52,0.83,0.8,0.89,0.67,0.9,0.82,0.57,0.47,0.71,0.93
wxstudio.csv,0.76,0.71,0.55,0.68,0.59,0.56,0.49,0.78,0.38,0.64,0.61,0.97
xbg.csv,0.9,0.83,0.99,0.98,0.94,0.95,0.93,0.8,0.86,0.89,0.95,0.97
xqilla.csv,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
