,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.58,0.92,0.78,0.76,0.58,0.55,0.6,0.12,0.6,0.67,0.7,0.28
gdis.csv,0.81,0.85,0.78,0.87,0.89,0.91,0.77,0.75,1.0,0.67,0.73,0.91
kml.csv,0.88,0.6,0.71,0.68,0.97,0.36,0.53,0.75,0.75,0.67,0.7,0.66
ppcboot.csv,0.77,0.8,0.74,0.98,0.44,0.36,0.57,0.62,0.49,1.0,0.43,0.7
repositorium.csv,0.35,0.57,0.47,0.5,0.39,0.82,0.26,0.38,0.72,0.33,0.43,0.77
rsyslog.csv,0.96,0.72,0.7,0.49,0.36,0.64,0.74,0.5,0.54,1.0,0.38,0.94
simplewebservices.csv,0.77,0.5,0.38,0.65,0.89,0.55,0.21,0.25,0.79,0.0,0.38,0.99
ultimairis.csv,0.35,0.8,0.74,0.22,0.22,0.64,0.98,0.88,0.16,1.0,0.59,0.63
wow-qrsk.csv,0.77,0.6,0.97,0.7,0.25,0.0,0.15,0.12,0.49,1.0,0.14,0.23
wxstudio.csv,0.27,0.32,0.38,0.32,0.47,0.18,0.53,0.12,0.49,0.67,0.97,0.13
xbg.csv,0.19,0.02,0.1,0.27,0.19,0.18,0.13,0.62,0.09,1.0,0.24,0.15
xqilla.csv,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
