,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,471.5,99.0,13889.0,904.0,295.5,274.5,288.5,197.5,194.5,198.0,196.5
libtorrent.csv,97.5,99.0,14059.0,283.5,395.0,196.0,669.5,196.5,193.0,99.0,196.5
mcmc-jags.csv,196.0,99.0,19691.5,189.0,197.5,197.0,484.5,97.5,291.5,98.5,196.5
natpad.csv,196.0,95.5,21439.0,79.5,197.5,96.5,477.5,197.5,291.5,95.5,196.5
nebuladevice.csv,445.5,258.5,0.0,181.0,90.5,97.5,471.5,0.0,94.5,99.0,76.5
olap-navigator.csv,97.5,99.0,12096.5,283.5,197.5,93.5,272.5,196.5,193.0,99.0,97.5
pidgin.csv,97.5,95.5,3117.0,329.0,296.5,189.0,264.5,197.5,193.0,99.0,97.5
salasaga.csv,196.0,194.0,7422.5,175.0,196.5,197.0,477.5,197.5,192.0,99.0,97.5
sepgsql.csv,97.5,194.0,7447.5,212.5,98.5,96.5,282.5,196.5,126.0,99.0,97.5
xstore.csv,97.5,95.5,22345.5,175.0,395.0,196.0,285.5,196.5,852.5,198.0,196.5
xtreemfs.csv,97.5,99.0,18255.0,188.0,296.5,197.0,382.0,196.5,434.0,99.0,97.5
