,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.31,0.31,0.55,0.42,0.35,0.34,0.6,0.44,0.37,0.43
betoffice.csv,0.51,0.78,0.95,0.45,0.44,0.49,0.57,0.54,0.49,0.54
bnetd.csv,0.39,0.41,0.53,0.35,0.48,0.64,0.39,0.47,0.41,0.49
graphmak.csv,0.8,0.45,0.6,0.51,0.72,0.67,0.59,0.44,0.83,0.58
hazelcast.csv,0.31,0.38,0.48,0.36,0.33,0.33,0.39,0.47,0.36,0.38
megasquirtavr.csv,0.39,0.46,0.77,0.47,0.64,0.42,0.52,0.42,0.58,0.62
pdfedit.csv,0.39,0.56,0.6,0.48,0.53,0.51,0.82,0.59,0.59,0.5
stajistics.csv,0.42,0.5,0.5,0.41,0.42,0.37,0.54,0.53,0.35,0.43
twostep.csv,0.31,0.38,0.51,0.43,0.35,0.36,0.43,0.38,0.45,0.44
xharbour.csv,0.37,0.42,0.53,0.43,0.58,0.47,0.47,0.46,0.52,0.55
